,City,Children_Needing_Care_DemandEstimated_InfantsToddlers,Available_Spaces_for_Children_Supply_InfantsToddlers,Percent_of_Need_Met_InfantsToddlers,Shortage_of_care_InfantsToddlers,Children_Needing_Care_DemandEstimated_Preschoolers,Available_Spaces_for_Children_Supply_Preschoolers,Percent_of_Need_Met_Preschoolers,Shortage_of_Care_Preschoolers,is_imputed_InfantsToddlers,is_imputed_Preschoolers,expected_slots_by_need_InfantsToddlers,delta_slots_InfantsToddlers,capacity_above_expectation_InfantsToddlers,expected_slots_by_need_Preschoolers,delta_slots_Preschoolers,capacity_above_expectation_Preschoolers
1,Andover,5,5.0,100%,0,5,56.0,1120%,51,1,1,1.5557924476475744,3.4442075523524256,221.3796292404052,4.88710048598232,51.11289951401768,1045.8737171585667
2,Ansonia,468,64.0,14%,-404,388,495.0,128%,107,0,0,145.62217309981295,-81.62217309981295,-56.0506489927651,379.23899771222807,115.76100228777193,30.524551268752436
3,Ashford,5,8.0,160%,3,90,62.0,1240%,57,1,1,1.5557924476475744,6.444207552352426,414.2074067846483,87.96780874768176,-25.967808747681758,-29.519672158897663
4,Avon,351,217.0,62%,-134,234,529.0,226%,295,0,0,109.21662982485971,107.78337017514029,98.68769101187448,228.7163027439726,300.2836972560274,131.29090215845613
5,Barkhamsted,97,6.0,120%,1,5,41.0,820%,36,1,1,30.18237348436294,-24.18237348436294,-80.12084767585122,4.88710048598232,36.11289951401768,738.9432572053793
6,Beacon Falls,28,3.0,60%,-2,37,50.0,1000%,45,1,1,8.712437706826416,-5.712437706826416,-65.56646829567086,36.16454359626917,13.83545640373083,38.256963942877285
7,Berlin,432,159.0,37%,-273,434,354.0,82%,-80,0,0,134.42046747675042,24.579532523249583,18.28555798431582,424.2003221832654,-70.20032218326543,-16.548861118718598
8,Bethany,44,77.0,1540%,72,12,106.0,2120%,101,1,1,13.690973539298653,63.30902646070135,462.4143511707092,11.729041166357568,94.27095883364242,803.739687639941
9,Bethel,399,121.0,30%,-278,322,394.0,122%,72,0,0,124.15223732227643,-3.1522373222764344,-2.5390096789748577,314.72927129726145,79.27072870273855,25.18695778628974
10,Bethlehem,5,8.0,160%,3,149,16.0,320%,11,1,1,1.5557924476475744,6.444207552352426,414.2074067846483,145.63559448227315,-129.63559448227315,-89.01367481151901
