,City,Children_Needing_Care_DemandEstimated_InfantsToddlers,Available_Spaces_for_Children_Supply_InfantsToddlers,Percent_of_Need_Met_InfantsToddlers,Shortage_of_care_InfantsToddlers,Children_Needing_Care_DemandEstimated_Preschoolers,Available_Spaces_for_Children_Supply_Preschoolers,Percent_of_Need_Met_Preschoolers,Shortage_of_Care_Preschoolers,is_imputed_InfantsToddlers,is_imputed_Preschoolers,expected_slots_by_need_InfantsToddlers,delta_slots_InfantsToddlers,capacity_above_expectation_InfantsToddlers,expected_slots_by_need_Preschoolers,delta_slots_Preschoolers,capacity_above_expectation_Preschoolers
113,Portland,8,33.0,660%,28,5,139.0,2780%,134,1,1,2.489267916236119,30.51073208376388,1225.6909706166716,4.88710048598232,134.11289951401767,2744.222262232871
114,Preston,12,22.0,440%,17,5,58.0,1160%,53,1,1,3.7339018743541783,18.266098125645822,489.19598694074296,4.88710048598232,53.11289951401768,1086.7977784856585
115,Prospect,30,54.0,1080%,49,31,104.0,2080%,99,1,1,9.334754685885446,44.66524531411456,478.4833326327294,30.300023013090385,73.69997698690962,243.23406274334954
116,Putnam,330,63.0,19%,-267,161,198.0,123%,37,0,0,102.6823015447399,-39.6823015447399,-38.64570714501354,157.36463564863072,40.635364351369276,25.822424577083087
117,Redding,173,20.0,12%,-153,164,180.0,110%,16,0,0,53.83041868860607,-33.83041868860607,-62.84628563694737,160.2968959402201,19.70310405977989,12.291631690190567
118,Ridgefield,396,284.0,72%,-112,539,638.0,118%,99,0,0,123.21876185368788,160.78123814631212,130.48438056635123,526.8294323888941,111.17056761110587,21.10181413118965
119,Rocky Hill,622,148.0,24%,-474,337,410.0,122%,73,0,0,193.54058048735826,-45.540580487358255,-23.530248991028984,329.3905727552084,80.60942724479162,24.472293353913848
120,Roxbury,19,13.0,260%,8,106,14.0,280%,9,1,1,5.912011301060782,7.087988698939218,119.89132526975095,103.60653030282519,-89.60653030282519,-86.48733824105463
121,Salem,5,30.0,600%,25,31,63.0,1260%,58,1,1,1.5557924476475744,28.444207552352424,1828.2777754424312,30.300023013090385,32.69997698690962,107.92063416183674
122,Salisbury,52,36.0,69%,-16,80,49.0,61%,-31,0,0,16.180241455534773,19.819758544465227,122.4935894741267,78.19360777571713,-29.193607775717126,-37.33503109289087
123,Scotland,5,3.0,60%,-2,199,26.0,520%,21,1,1,1.5557924476475744,1.4442075523524256,92.82777754424313,194.50659934209634,-168.50659934209634,-86.63284429014594
124,Seymour,400,84.0,21%,-316,329,235.0,71%,-94,0,0,124.46339581180594,-40.46339581180594,-32.51027785951489,321.57121197763666,-86.57121197763666,-26.921319058764865
125,Sharon,13,0.0,0%,-5,178,7.0,140%,2,1,1,4.045060363883693,-4.045060363883693,-100.0,173.9807773009706,-166.9807773009706,-95.97656700435896
126,Shelton,569,443.0,78%,-126,607,828.0,136%,221,0,0,177.04918054229395,265.9508194577061,150.21296265992888,593.2939989982536,234.70600100174636,39.559813751367
127,Sherman,5,2.0,40%,-3,84,25.0,500%,20,1,1,1.5557924476475744,0.4442075523524256,28.551851696162085,82.10328816450298,-57.103288164502985,-69.5505496078187
128,Simsbury,462,176.0,38%,-286,426,406.0,95%,-20,0,0,143.75522216263587,32.244777837364126,22.430334948725797,416.3809614056937,-10.38096140569371,-2.4931402652628005
129,Somers,122,25.0,20%,-97,224,114.0,51%,-110,0,0,37.961335722600815,-12.961335722600815,-34.143518598277616,218.94210177200796,-104.94210177200796,-47.93143982936997
130,South Windsor,724,231.0,32%,-493,430,481.0,112%,51,0,0,225.27874641936876,5.721253580631242,2.5396330863723886,420.29064179447954,60.70935820552046,14.44461336239009
131,Southbury,294,106.0,36%,-188,478,227.0,47%,-251,0,0,91.48059592167736,14.519404078322637,15.87156700504407,467.20680645990984,-240.20680645990984,-51.41337907296125
132,Southington,950,178.0,19%,-772,922,554.0,60%,-368,0,0,295.60056505303913,-117.60056505303913,-39.78360631074513,901.1813296151398,-347.1813296151398,-38.5251356420586
133,Sprague,47,9.0,180%,4,108,71.0,1420%,66,1,1,14.624449007887199,-5.624449007887199,-38.45921993268836,105.56137049721812,-34.56137049721812,-32.740547355937295
134,Stafford,275,60.0,22%,-215,249,232.0,93%,-17,0,0,85.56858462061659,-25.56858462061659,-29.88080816572977,243.37760420191955,-11.377604201919553,-4.674877230067588
135,Stamford,3477,1010.0,29%,-2467,3033,3161.0,104%,128,0,0,1081.8980680941231,-71.89806809412312,-6.6455491708917735,2964.5151547968753,196.48484520312468,6.627891406970647
136,Sterling,43,8.0,160%,3,5,52.0,1040%,47,1,1,13.379815049769139,-5.379815049769139,-40.208441071552514,4.88710048598232,47.11289951401768,964.0255945043835
