,City,Total_Preschoolers_Needing_Care,Total#_Preschool_Slots_Public/Charter/Magnet_School_Funded_IncludesOverlaps,#Needed_to_Expand_Public_Preschool_to_Meet_100%_Demand_#NeedingCare_CurrentPublicPreschool,is_imputed_Preschool,expected_slots_by_need_Preschool,delta_slots_Preschool,capacity_above_expectation_Preschool
1,Andover,5,32.0,-27,1,1.2991514535417283,30.70084854645827,2363.1462261587785
2,Ansonia,388,118.0,270,0,100.81415279483812,17.185847205161878,17.04705810516103
3,Ashford,5,48.0,-43,1,1.2991514535417283,46.700848546458275,3594.7193392381687
4,Avon,234,197.0,37,0,60.80028802575289,136.19971197424712,224.01162296559787
5,Barkhamsted,74,28.0,-23,1,19.22744151241758,8.772558487582419,45.625199181684536
6,Beacon Falls,23,9.0,-4,1,5.9760966862919505,3.0239033137080495,50.59997306677315
7,Berlin,434,57.0,377,0,112.76634616742203,-55.76634616742203,-49.453004431505484
8,Bethany,35,11.0,-6,1,9.094060174792098,1.905939825207902,20.958073606011457
9,Bethel,322,115.0,207,0,83.66535360808732,31.334646391912685,37.45235637046754
10,Bethlehem,5,0.0,5,1,1.2991514535417283,-1.2991514535417283,-100.0
11,Bloomfield,289,440.0,-151,0,75.0909540147119,364.9090459852881,485.9560659114742
12,Bolton,61,10.0,-5,1,15.849647733209087,-5.849647733209087,-36.90711510863785
13,Bozrah,10,25.0,-20,1,2.5983029070834567,22.401697092916542,862.1664945932729
14,Branford,366,41.0,325,0,95.09788639925452,-54.09788639925452,-56.886528657569194
15,Bridgeport,3942,1089.0,"2,853",0,1024.2510059722986,64.74899402770143,6.321594379713267
16,Bridgewater,6,0.0,5,1,1.5589817442500742,-1.5589817442500742,-100.0
17,Bristol,1344,323.0,"1,021",0,349.2119107120166,-26.211910712016618,-7.506018525706216
18,Brookfield,272,40.0,232,0,70.67383907267002,-30.67383907267002,-43.401970906278066
19,Brooklyn,39,117.0,-112,1,10.133381337625481,106.86661866237452,1054.5997935119274
20,Burlington,141,108.0,121,0,36.63607098987674,71.36392901012326,194.79143664134315
21,Canaan,5,16.0,-11,1,1.2991514535417283,14.700848546458271,1131.5731130793893
22,Canterbury,44,55.0,-50,1,11.43253279116721,43.56746720883279,381.08324729663644
23,Canton,34,27.0,-22,1,8.834229884083753,18.165770115916246,205.62935710609844
24,Chaplin,58,33.0,-28,1,15.07015686108405,17.92984313891595,118.97582290743452
25,Cheshire,462,68.0,394,0,120.0415943072557,-52.04159430725571,-43.3529682836861
26,Chester,60,0.0,5,1,15.58981744250074,-15.58981744250074,-100.0
27,Clinton,296,64.0,232,0,76.90976604967032,-12.909766049670324,-16.785600467608834
28,Colchester,309,91.0,218,0,80.28755982887881,10.712440171121187,13.342590301602373
29,Colebrook,30,0.0,5,1,7.79490872125037,-7.79490872125037,-100.0
30,Columbia,60,26.0,-21,1,15.58981744250074,10.41018255749926,66.77552572950064
31,Cornwall,13,0.0,13,0,3.3777937792084938,-3.3777937792084938,-100.0
32,Coventry,31,80.0,-75,1,8.054739011958716,71.94526098804128,893.2041234511203
33,Cromwell,298,32.0,266,0,77.42942663108701,-45.42942663108701,-58.6720431852554
34,Danbury,1594,280.0,"1,314",0,414.169483389103,-134.169483389103,-32.39482597588045
35,Darien,602,130.0,472,0,156.4178350064241,-26.4178350064241,-16.889272892275432
36,Deep River,23,0.0,5,1,5.9760966862919505,-5.9760966862919505,-100.0
37,Derby,282,30.0,252,0,73.27214197975348,-43.272141979753485,-59.056744910924564
38,Durham,5,0.0,5,1,1.2991514535417283,-1.2991514535417283,-100.0
39,East Granby,10,0.0,5,1,2.5983029070834567,-2.5983029070834567,-100.0
