total population,black or african american,american indian and alaska native,asian,native hawaiian and other pacific islander,other race,hispanic or latinx,non US citizens,male mean usual hours worked,female mean usual hours worked,unemployed,gini index,male median income past 12 months,female median income past 12 months,male median earnings past 12 months,female median earnings past 12 months,receiving social security income,receiving supplemental security income,received public assistance income,received cash public assistance or food stamps/snap,received retirement income,median household income,median household income - white,median household income - black,median household income - american indian / alaska native,median household income - asian,median household income - other race,median household income - 2 or more races,median household income - hispanic or latinx,median family income,median family income - white,median family income - black,median family income - american indian / alaska native,median family income - asian,median family income - other race,median family income - 2 or more races,median family income - hispanic or latinx,housing units,median year housing unit was built,number of owned homes,households with 0 vehicles available,households with 1 vehicles available,households with 2 vehicles available,households with 3 vehicles available,households with 4+ vehicles available,households with people 65+,married women with birth in past 12 months,unmarried women with birth in past 12 months,per capita income,income quintile means - lowest,income quintile means - second,income quintile means - third,income quintile means - fourth,income quintile means - highest,income quintile means - top 5%,transport to work - car/truck/van,transport to work - public transport,time of departure to work - afternoon,child relationship to householder - foster/not family,educational attainment - no school,primary spoken language at home - english,primary spoken language at home - spanish,primary spoken language at home - chinese,ratio of income to poverty level - < 0.5,number of income earners in family - no earners,number of income earners in family - 1 earner,number of income earners in family - 2 earners,number of income earners in family - 3+ earners,rent paid for non-owned housing units - no rent paid,rent as percentage of income - 50+%,home value of owned/mortgaged housing units - 300k - 400k,home value of owned/mortgaged housing units - 400k - 500k,home value of owned/mortgaged housing units - 500k - 750k,home value of owned/mortgaged housing units - 750k - 1m,monthly housing costs - 3k+,monthly housing costs - no housing cost,computers and internet - computer but no internet,computers and internet - no computer,nativity and citizenship - born in CT,nativity and citizenship - born in other state,nativity and citizenship - born outside US,nativity and citizenship - foreign-born naturalized,nativity and citizenship - foreign-born non-citizen,geographic mobility - no moving,geographic mobility - within county,geographic mobility - from other county in CT,geographic mobility - from other state,geographic mobility - from abroad,work location - in county of residence,work location - outside county of residence,work location - outside CT,household type of homes with children - married,household type of homes with children - cohabitating couple,household type of homes with children - single female,household type of homes with children - single male,school enrollment - nursery/pre-school,school enrollment - kindergarten,school enrollment - grades 1-4,school enrollment - grades 5-8,school enrollment - high school,school enrollment - college,school enrollment - grad school,school enrollment - not enrolled,house heating fuel - electric,house heating fuel - oil,house heating fuel - coal,house heating fuel - wood,house heating fuel - solar,house heating fuel - other,house heating fuel - no fuel used,bedrooms in house - none,bedrooms in house - 1,bedrooms in house - 2,bedrooms in house - 3,bedrooms in house - 4,bedrooms in house - 5+,transport to work - other,time of departure to work - morning,time of departure to work - evening/night,travel time to work - < 20 mins,travel time to work - 21-40 mins,travel time to work - > 40 minns,child relationship to householder - family,educational attainment - K-12 no diploma,educational attainment - high school diploma,educational attainment - some college no degree,educational attainment - college degree,educational attainment - graduate degree,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,rent paid for non-owned housing units - < 500,rent paid for non-owned housing units - 500 - 999,rent paid for non-owned housing units - 1000 - 1999,rent paid for non-owned housing units - 2000 - 2999,rent paid for non-owned housing units - 3000+,rent as percentage of income - <15%,rent as percentage of income - 15-29%,rent as percentage of income - 30-49%,home value of owned/mortgaged housing units - < 50k,home value of owned/mortgaged housing units - 50k - 100k,home value of owned/mortgaged housing units - 100k - 200k,home value of owned/mortgaged housing units - 200k - 300k,home value of owned/mortgaged housing units - 1m+,monthly housing costs - < 500,monthly housing costs - 500-1000,monthly housing costs - 1k - 2k,monthly housing costs - 2k - 3k,computers and internet - computer with internet,population at age - < 18 years,population at age - 18 - 49 years,population at age - 50 - 64 years,population at age - 65+ years,school type for high school and below - public school,school type for high school and below - private school,house heating fuel - gas,health insurance coverage - with coverage,health insurance coverage - without coverage,town
2489,141,52,17,0,53,231,23,42.1,33.7,684,0.3625,48693.0,25417.0,53245.0,28500.0,333,43,10,71,232,70500.0,68900.0,,,,,138125.0,,90735.0,86818.0,,,,,,,1058,1971.0,536,25,212,432,214,105,270,5,0,35335.0,20278.0,50263.0,75328.0,112844.0,173848.0,234221.0,1321,18,72,0,4,2145,140,5,21,84,171,327,82,0,25,128,5,5,0,35,0,56,58,1813,557,51,45,23,1973,144,17,23,0,599,766,35,168,28,28,9,47,23,83,114,89,73,46,1981,63,634,15,195,0,26,0,0,48,383,449,129,49,29,1082,214,407,527,434,428,190,724,336,476,195,20,78,545,15,71,37,6,0,26,23,55,10,22,356,329,4,79,282,492,100,874,428,949,720,392,312,44,55,2424,65,Chaplin
15105,444,339,340,0,151,826,266,41.6,34.1,4096,0.3864,45511.0,23500.0,49178.0,27083.0,1906,430,624,919,1203,70206.0,69905.0,109653.0,,,,,76003.0,79007.0,78844.0,125536.0,,,,,75386.0,6154,1963.0,2729,293,1446,2112,1181,563,1708,112,59,30839.0,18003.0,43919.0,70189.0,96564.0,172320.0,272003.0,6984,41,621,105,163,13225,497,0,138,665,998,1704,539,65,334,249,0,37,0,63,65,353,636,10048,4345,245,201,266,10812,662,648,378,36,3954,2676,734,941,216,249,26,263,121,687,481,837,360,94,11882,857,3748,0,338,0,41,0,8,593,1404,2849,1098,202,49,5456,997,2177,3357,1540,3087,1424,4459,2361,2007,427,129,477,3162,199,769,721,0,0,268,681,406,42,98,2210,1198,7,456,1798,2658,555,4606,3192,6343,3151,2419,2231,158,611,14433,490,Plainfield
9351,111,171,86,1,22,292,31,41.1,35.2,2184,0.3847,47931.0,32373.0,52619.0,39526.0,1201,158,279,429,723,80125.0,82321.0,,,,,51395.0,52209.0,93396.0,93821.0,,,,,,80511.0,4152,1971.0,1804,90,938,1431,675,435,1062,71,22,35463.0,18910.0,51200.0,80074.0,113204.0,195251.0,281227.0,4597,10,459,53,24,8506,205,8,57,332,635,1166,505,59,29,480,168,62,18,142,59,186,376,3331,5810,72,107,31,7213,451,32,135,0,2207,261,2449,708,91,81,62,43,124,383,472,502,283,101,7120,316,2464,6,405,0,72,0,0,384,796,2170,639,163,107,3668,587,1973,1667,1074,1861,693,2025,1534,1789,772,61,196,2324,131,186,367,9,30,163,382,149,54,69,1057,864,15,489,960,1500,419,3007,1928,3511,2506,1406,1300,224,306,9217,104,Thompson
7836,0,96,24,0,0,39,29,41.8,35.9,1904,0.4118,51619.0,32262.0,53824.0,35023.0,913,88,9,91,732,86821.0,87824.0,,,,,,,103668.0,104946.0,,,,,,,3677,1978.0,1778,135,822,1294,782,216,903,36,0,46036.0,26145.0,59078.0,85870.0,120627.0,253867.0,450491.0,3974,14,150,0,0,7395,56,0,19,293,526,1194,360,86,9,647,142,162,63,109,86,133,183,3551,4084,47,125,29,6074,200,49,254,0,2475,498,1450,609,50,76,42,91,39,397,446,331,536,16,5780,641,1841,0,471,0,203,0,119,252,875,1792,462,177,138,3520,456,1609,1223,1294,1571,234,1441,960,2181,834,42,56,2256,53,124,190,9,0,53,212,102,20,39,714,1000,0,218,877,1410,549,2933,1571,2955,1920,1390,1268,36,93,7678,158,Woodstock
1569,17,10,2,0,14,60,23,34.9,35.0,363,0.3421,46008.0,30329.0,43368.0,33882.0,220,40,23,39,183,86053.0,87368.0,,,,,,79375.0,95781.0,97875.0,,,,,,,678,1981.0,343,0,137,257,146,74,208,8,4,37060.0,28401.0,56428.0,84882.0,111576.0,191242.0,259944.0,842,4,59,2,0,1445,31,0,0,58,100,202,73,10,16,62,9,27,6,67,10,35,23,1180,331,25,10,23,1226,74,33,0,0,461,419,10,139,12,3,5,18,17,62,79,79,114,4,1170,27,410,0,99,0,7,0,0,21,136,393,93,35,13,692,108,304,372,183,305,73,396,261,247,121,7,37,389,0,27,32,14,0,21,36,0,8,0,181,227,11,5,205,231,96,556,307,536,415,311,226,29,71,1527,37,Scotland
4186,62,31,76,12,6,136,21,39.0,36.1,1275,0.4523,50804.0,37841.0,52527.0,39147.0,553,87,52,132,430,93472.0,94444.0,,,,,,,127530.0,126250.0,,,,,,,1689,1988.0,805,62,324,822,317,122,545,0,0,48454.0,17108.0,53586.0,95697.0,148818.0,292015.0,433842.0,1887,0,167,36,18,3974,30,0,8,108,377,487,113,37,108,260,154,190,7,184,37,50,156,2517,1488,12,148,21,3169,305,62,47,0,1626,263,239,300,4,62,0,8,21,120,413,243,406,79,2881,195,1123,0,207,0,32,0,41,227,323,582,450,66,123,1785,58,1095,591,324,769,87,644,520,1022,592,28,67,982,3,154,97,0,0,20,65,61,8,23,215,483,16,52,492,576,306,1441,822,1655,956,753,626,179,90,4001,163,Pomfret
24655,2821,1488,648,69,2919,10143,1846,35.5,31.7,7672,0.4269,25470.0,18055.0,25897.0,20842.0,2610,1122,1314,2518,1364,47481.0,49383.0,,,52917.0,37077.0,43859.0,35765.0,48527.0,59216.0,47542.0,24859.0,,34146.0,29113.0,33250.0,9447,1957.0,2780,1050,3332,3121,790,297,2027,80,37,21061.0,9056.0,26719.0,46817.0,68955.0,128596.0,188554.0,9038,159,1104,67,200,14577,7844,188,248,765,2259,1443,411,60,1019,16,53,11,0,73,60,753,1040,13557,4513,3961,778,1846,16625,1457,1884,447,198,5283,4932,251,774,432,1054,66,271,513,1207,1011,1180,4541,521,14720,1841,3947,17,254,0,24,28,242,1771,2920,3115,1019,380,896,7361,1628,5179,3340,1574,4805,2478,4935,3043,2421,1158,662,1201,2767,1045,1782,1577,85,15,397,1622,1312,115,361,2575,895,0,1166,3018,3691,582,6797,4894,12956,3723,3082,4061,121,2479,22432,1745,Windham
4236,1,19,105,0,72,216,81,40.8,33.2,1130,0.4228,47426.0,32033.0,50756.0,33942.0,504,58,41,146,416,70952.0,71458.0,,,,,,82188.0,92500.0,92917.0,,,,,,,1934,1969.0,818,30,596,654,312,182,399,9,9,37031.0,11806.0,45685.0,70661.0,107544.0,196220.0,270661.0,1958,0,232,29,14,3700,100,42,45,104,366,439,121,22,71,242,74,8,9,66,22,106,141,2654,1345,51,105,81,3201,68,173,61,0,672,1342,123,281,104,47,14,90,33,149,179,199,131,90,3231,456,896,0,284,17,8,0,8,176,578,831,251,90,45,1614,157,505,904,594,850,195,778,571,951,537,28,100,857,8,229,208,0,0,20,255,25,24,38,485,419,8,83,621,672,310,1527,879,1675,1124,558,617,33,113,4037,181,Ashford
8238,371,95,202,0,25,358,170,37.2,36.6,2869,0.4138,35750.0,30294.0,38800.0,36936.0,1128,267,237,458,882,76047.0,76250.0,,,,,,,86027.0,87132.0,,,,,,,3096,1976.0,1644,226,706,1182,517,284,1093,0,0,33061.0,16112.0,47658.0,76735.0,113648.0,201616.0,344171.0,3181,0,176,112,104,7228,272,36,41,255,635,1188,147,16,208,319,38,33,0,99,16,125,353,4701,2998,90,279,170,5971,302,273,294,9,2384,658,496,505,80,82,130,98,78,279,553,220,322,84,6470,298,1921,0,146,41,17,14,0,257,700,1620,439,80,44,2651,398,1483,904,838,1585,495,1832,1756,1370,497,30,180,1974,125,249,373,13,0,80,285,187,20,0,749,966,14,244,721,1465,370,2437,1702,3122,1868,1546,1160,68,478,7458,200,Brooklyn
17231,502,481,484,9,115,709,355,39.8,35.8,4458,0.4215,41495.0,29011.0,45851.0,32131.0,2229,361,672,1209,1375,62550.0,62955.0,,,,,,,83286.0,85123.0,,,116154.0,,,,8102,1967.0,3083,519,2546,2725,961,337,1828,46,51,32090.0,14227.0,35393.0,61690.0,94518.0,170529.0,258966.0,8353,73,644,129,177,15039,256,62,117,453,1234,2166,472,106,630,352,232,48,25,61,106,476,853,10477,5882,62,455,355,12312,1398,221,254,0,6092,1013,1801,990,160,532,51,375,246,650,680,808,887,134,12891,1136,3715,17,587,0,52,35,75,937,2437,3687,853,113,131,6336,1577,4243,2218,2096,3475,1566,4314,2348,3274,970,309,372,3527,183,871,1184,0,0,213,731,640,87,257,2256,1452,35,667,2091,3474,689,5759,3607,6660,4189,2775,2544,215,1546,16310,623,Killingly
9361,211,120,98,0,37,455,84,39.0,34.6,2959,0.4398,36466.0,27822.0,36981.0,33573.0,1569,221,209,519,1079,60201.0,60667.0,35833.0,,,,64205.0,,75714.0,76687.0,,,,,,,4483,1953.0,1533,378,1670,1332,503,213,1355,26,13,35315.0,13895.0,36164.0,60456.0,89661.0,187941.0,278126.0,4322,6,309,36,121,8714,163,0,70,314,864,968,272,55,273,188,64,33,5,29,55,251,518,5414,3561,96,206,84,7093,714,171,256,1,3217,315,1291,361,62,241,76,129,48,300,388,319,352,64,7636,725,2266,0,173,0,5,0,0,754,1165,1813,627,124,223,3356,886,2642,981,928,1421,557,2458,1517,1864,729,89,339,1920,240,695,720,6,0,357,581,416,37,184,1059,761,49,485,1356,1976,195,3327,1459,3342,2525,2035,1071,113,927,8712,501,Putnam
4234,36,12,53,0,12,95,70,44.2,32.6,1229,0.3827,53229.0,26875.0,56250.0,26541.0,696,42,44,74,408,88167.0,88667.0,,,,,,,102206.0,102206.0,,,,,,,2027,1961.0,974,107,585,595,262,223,711,34,0,41871.0,21986.0,55716.0,85625.0,117441.0,211584.0,323505.0,1855,38,56,0,13,3874,72,97,0,174,226,495,159,16,117,455,246,170,28,209,16,55,120,2853,1134,22,155,70,3212,225,156,90,0,1309,966,25,229,26,72,0,7,21,197,220,199,213,37,3245,310,1136,0,95,0,0,0,40,258,552,721,312,144,89,1772,154,746,702,534,711,138,784,852,980,495,18,48,988,8,118,234,24,17,68,120,96,29,0,70,357,0,61,386,611,489,1597,711,1405,1046,1072,557,87,231,3959,158,Chester
6604,266,21,383,0,34,195,82,46.2,34.5,2237,0.4557,65305.0,32446.0,66636.0,28460.0,1414,0,87,233,642,89261.0,92831.0,,,,,93750.0,75833.0,123800.0,137985.0,,,,,,,3494,1963.0,1473,88,1062,1248,427,249,1439,23,0,58514.0,22367.0,52967.0,89983.0,150824.0,307550.0,456137.0,2932,131,63,39,0,6182,72,23,13,307,549,854,128,100,101,514,397,367,124,448,100,120,90,3401,2602,95,424,82,5397,275,136,106,0,2062,1235,108,393,45,126,0,51,19,191,327,333,298,51,5285,512,1907,0,155,0,58,32,22,372,928,1507,529,136,140,2909,231,1650,908,645,953,194,1162,649,1955,1169,0,236,1589,42,247,341,77,19,208,174,243,54,22,84,572,114,219,667,995,645,2864,992,1787,1768,2057,752,169,410,6368,178,Essex
12827,144,140,585,21,66,364,318,41.5,37.1,3270,0.3894,56231.0,35499.0,58395.0,39014.0,1603,70,7,342,1144,95513.0,94301.0,202500.0,,106912.0,,,96080.0,114615.0,115062.0,202500.0,,113750.0,,,,5537,1973.0,3194,88,1105,2088,1010,540,1535,87,0,42820.0,26468.0,61623.0,96252.0,135190.0,245136.0,389847.0,6106,30,258,69,37,11389,210,60,118,386,903,1644,523,42,54,1156,223,93,110,250,42,355,217,8696,3085,235,493,318,9540,432,629,77,25,2592,3885,103,1124,44,80,21,148,265,614,641,663,478,174,9579,526,3128,0,391,14,47,0,31,435,1104,2743,1085,139,70,5288,660,1355,2526,2325,2473,549,2540,1739,2974,1533,10,199,3129,29,88,424,46,0,57,310,166,50,0,899,1644,27,62,1015,1995,1467,4259,2542,4800,3307,2178,2105,226,725,12353,396,East Hampton
13910,1140,100,616,0,46,1241,320,43.4,37.0,3375,0.4247,57969.0,40338.0,65882.0,50889.0,1828,92,116,397,1181,89243.0,94088.0,52469.0,,,,130417.0,92692.0,117722.0,123185.0,84457.0,,,,65313.0,93702.0,6253,1975.0,3181,398,2292,1994,1040,173,1726,34,11,49348.0,23520.0,55178.0,90288.0,136208.0,263553.0,425744.0,7262,33,407,0,176,11834,349,12,7,469,908,1712,407,109,263,693,364,271,54,585,109,339,574,9415,3159,137,879,320,10415,321,661,157,15,2523,5111,74,952,202,72,137,239,124,685,808,567,578,155,10493,1247,2016,0,85,0,62,45,85,620,2217,2265,912,154,140,6615,413,2881,3222,1332,2781,512,2116,1673,3683,2230,52,369,3068,270,193,665,56,112,190,439,374,85,119,1378,1528,0,270,1205,2605,1123,4984,2785,5471,2955,2699,2166,257,2442,13268,345,Cromwell
3203,142,0,7,0,0,96,24,40.1,35.2,799,0.3199,65893.0,33125.0,65833.0,36107.0,375,32,9,35,351,105328.0,105164.0,116000.0,,,,,,122500.0,125729.0,94125.0,,,,,,1357,1972.0,780,24,201,512,289,190,333,32,23,44592.0,38324.0,77227.0,104476.0,142607.0,224965.0,332837.0,1691,22,150,0,3,2929,59,0,0,102,188,455,143,0,18,233,62,36,29,69,0,48,8,2175,924,19,61,24,2621,53,56,25,0,536,1217,27,245,18,14,12,40,37,115,104,239,159,39,2352,94,903,0,97,8,25,11,0,130,334,585,263,45,35,1462,136,298,1160,290,594,81,580,470,699,441,0,51,837,0,99,42,0,0,35,42,46,27,23,218,419,28,29,330,546,242,1160,594,1202,952,455,523,12,78,3100,103,Andover
12433,183,26,246,0,154,300,103,40.7,36.0,2630,0.3768,58120.0,38104.0,60795.0,41000.0,1254,84,40,155,1070,96143.0,96125.0,,,,,,88706.0,118373.0,117689.0,,,,,,76250.0,4999,1975.0,2869,45,1067,2077,956,503,1256,99,0,45562.0,32375.0,68619.0,98114.0,142717.0,256943.0,418152.0,6600,33,275,0,10,11384,55,0,16,368,893,1882,384,105,47,874,176,207,55,311,105,115,202,9391,2597,87,255,103,9245,529,332,85,0,2281,4424,225,998,78,175,37,144,245,654,724,539,653,287,8883,639,3148,0,264,0,34,0,22,339,1162,2482,767,227,2,5754,606,1891,3229,1515,2702,226,2249,1457,3184,1426,69,145,3297,18,160,257,17,0,56,238,111,49,91,1226,1403,10,195,1139,1843,1055,4331,2707,4787,3088,1851,2201,105,563,12190,197,Coventry
4911,102,7,87,0,104,370,123,37.5,34.6,1356,0.3968,52669.0,45101.0,55052.0,50662.0,696,18,33,125,479,105772.0,106397.0,,,,,,,127292.0,128906.0,,,,,,,1952,1964.0,1111,100,327,781,377,236,718,10,0,47361.0,29809.0,63525.0,103306.0,153486.0,274027.0,419614.0,2457,10,239,10,21,4314,107,0,18,191,330,535,264,0,39,384,95,140,23,189,0,37,44,3464,1047,52,225,123,3988,68,155,8,10,628,1942,36,378,22,36,32,79,0,202,282,344,274,86,3586,137,1383,5,58,0,21,10,24,49,343,862,524,150,34,2105,157,761,1380,360,912,198,939,501,1165,664,26,24,1252,9,87,59,0,10,23,67,27,0,10,288,697,19,28,477,628,499,1740,923,1870,1059,1059,877,30,207,4853,57,Bolton
14713,298,65,744,0,23,231,245,42.2,35.0,3421,0.4096,64917.0,36516.0,64967.0,46365.0,1403,132,34,86,1429,118194.0,118741.0,,,,,,,142626.0,142106.0,,,145129.0,,,,5473,1982.0,3330,34,889,2148,1594,587,1416,79,0,54164.0,32622.0,84145.0,120455.0,167480.0,344886.0,596974.0,7350,140,328,0,3,13227,144,241,44,443,924,2079,716,22,135,1359,612,249,10,714,22,85,178,9837,4116,44,471,245,10921,563,243,257,53,2906,4796,335,1523,59,86,100,415,172,622,865,971,899,355,10090,355,3847,0,480,23,47,0,15,292,557,2639,1646,324,49,6759,452,1802,4113,1624,3414,213,2132,1976,3590,2210,33,154,3931,30,15,313,0,0,29,117,60,58,32,793,1734,25,157,1062,1986,1311,4989,3414,5553,3410,2336,2783,262,500,14473,64,Tolland
11005,740,124,248,0,301,694,147,41.3,34.7,4330,0.4255,52313.0,35599.0,54363.0,43212.0,1304,50,20,90,1144,108560.0,109049.0,,,,,,107125.0,125991.0,126462.0,,,,,,107125.0,3725,1975.0,2220,44,705,1590,764,522,1428,93,7,47734.0,30385.0,73969.0,109819.0,153337.0,333824.0,615700.0,4346,52,246,37,50,9694,432,75,10,361,710,1316,387,68,65,1064,452,220,30,370,68,213,286,5656,4652,236,314,147,8641,127,543,183,11,1760,2160,943,837,7,63,37,118,114,444,379,551,337,153,8602,87,2776,0,105,0,52,0,11,204,525,1843,924,218,109,3967,294,1715,1864,928,1887,744,2443,1272,2620,1369,12,107,2645,43,78,250,13,18,32,188,117,26,0,156,1148,59,62,797,1351,977,3126,1924,3891,3062,2128,1560,46,605,9127,152,Somers
29232,2769,75,2003,49,1330,3084,1312,40.9,36.0,7597,0.4213,42014.0,30142.0,46408.0,36220.0,4307,685,598,1807,2803,64587.0,65509.0,31484.0,79286.0,91446.0,83177.0,,63250.0,85694.0,89891.0,40930.0,,94677.0,,,71150.0,14072,1968.0,4619,1154,5315,4416,1518,636,3606,227,183,36384.0,14873.0,38599.0,65124.0,97209.0,181187.0,278980.0,13500,650,1201,104,103,23185,1477,181,285,983,2521,3022,589,105,1186,491,181,48,11,195,105,1028,1319,18152,7415,597,1756,1312,20868,1156,1995,461,154,5371,9312,344,1774,246,852,97,357,303,1073,1132,699,1253,470,22772,2600,5103,7,117,0,44,46,249,3260,4514,3914,1876,259,241,11806,1384,4930,7667,1794,5071,1185,6670,3761,6577,2861,107,1057,5666,649,1817,3423,227,0,675,2723,1506,190,413,2698,2704,82,798,3541,6763,1637,10692,5175,13153,5762,5142,3218,346,5122,27518,1380,Vernon
894,3,16,18,3,0,3,9,45.2,34.8,327,0.3589,64063.0,30000.0,74063.0,31875.0,163,3,5,8,133,87083.0,86458.0,,,,,,,103125.0,101071.0,,,,,,,408,1980.0,212,9,62,174,82,47,168,1,0,47369.0,32895.0,64407.0,91503.0,134119.0,230570.0,334837.0,406,0,19,0,0,838,10,0,0,80,76,114,21,0,1,88,44,22,8,18,0,10,31,502,344,8,31,9,714,33,19,13,0,192,159,86,66,2,4,2,10,13,34,35,26,21,17,726,23,235,9,59,0,6,2,3,16,65,249,61,14,1,351,37,58,209,140,137,18,216,136,234,91,9,9,273,0,0,8,3,0,2,8,0,9,2,72,116,2,14,115,115,112,333,137,242,249,266,95,23,40,869,24,Union
5417,14,14,0,0,177,448,47,40.5,36.6,1695,0.3786,59196.0,47500.0,66974.0,49070.0,795,108,0,71,547,109962.0,112163.0,,,,,,112895.0,114667.0,120580.0,,,,,,112895.0,2315,1977.0,1353,28,428,1041,468,191,751,0,0,51649.0,30312.0,70804.0,112875.0,153133.0,273207.0,415813.0,2548,0,170,0,13,4675,353,0,0,268,385,961,158,0,0,281,232,81,11,117,0,52,153,4133,1145,47,45,47,4376,145,196,59,0,989,1679,86,455,25,70,0,85,155,124,111,370,271,85,4100,280,1564,0,141,13,0,14,24,84,362,1311,466,68,16,2256,138,950,875,739,958,94,1013,633,1489,755,0,157,1615,15,13,91,0,0,0,119,0,61,13,290,1039,29,66,513,1195,265,1951,958,1796,1492,1171,802,43,144,5255,140,Columbia
16170,570,163,1212,0,301,741,610,41.2,36.4,3774,0.4306,64124.0,40154.0,66748.0,49197.0,1834,133,193,447,1166,91510.0,91693.0,,,121575.0,,,73385.0,122471.0,121285.0,143333.0,,,,,,7418,1981.0,3034,217,1998,3101,1192,492,1754,148,0,50643.0,20540.0,57723.0,93674.0,136986.0,272876.0,434056.0,7925,107,512,40,0,14053,294,172,17,390,1132,2050,560,54,528,1041,558,197,77,541,54,278,556,9888,4817,217,638,610,11767,822,348,378,36,3042,5142,522,1540,80,240,53,278,164,614,981,1015,596,194,11888,1826,2771,27,129,0,63,27,0,1822,1542,2378,1626,50,156,6854,822,2487,4053,1648,3420,487,2991,1775,3648,2509,133,183,3799,26,606,1493,436,0,408,1129,496,62,159,624,1635,32,106,1563,3224,1512,6166,3462,6902,3504,2302,2739,313,2157,15933,220,Ellington
25799,1525,253,2785,0,282,1390,1777,29.5,24.4,11322,0.5601,7910.0,6346.0,6861.0,4895.0,1532,153,120,431,1028,51911.0,57421.0,,,32708.0,,,,113068.0,115350.0,63580.0,,142143.0,,,,6323,1977.0,1747,369,2171,1941,922,337,1500,63,0,22571.0,8781.0,25858.0,54470.0,113215.0,271531.0,497080.0,5757,289,1281,32,33,20368,848,1372,25,451,790,1185,257,83,1441,657,211,66,8,273,83,495,294,11724,10825,358,1115,1777,16821,1383,3664,1756,627,7906,2497,209,768,29,248,28,50,106,470,585,682,15568,655,7508,1864,2519,0,259,0,40,32,163,956,2136,1902,904,262,2898,6276,1387,6196,1477,1271,2107,303,1253,1161,2088,2467,119,336,2203,34,621,1373,450,121,143,353,516,159,70,763,1089,35,177,1509,2549,1149,4951,2280,19446,1891,2182,1830,63,1026,25042,631,Mansfield
11881,212,223,242,10,48,419,110,41.5,35.0,3209,0.4003,50458.0,29212.0,54164.0,34800.0,1569,158,91,368,1299,74386.0,77625.0,,,,,,,96698.0,97127.0,,,,,,,5113,1960.0,2313,263,1344,1785,918,397,1451,81,15,37359.0,18970.0,46519.0,76877.0,116607.0,199126.0,290887.0,5870,29,556,121,38,10995,267,0,43,259,927,1439,354,35,161,359,103,12,0,85,35,208,444,7883,3630,101,157,110,9069,583,351,156,0,3126,2689,492,698,75,211,38,32,158,494,550,505,618,223,8969,797,3043,8,345,0,36,7,92,550,1318,2211,765,177,145,4881,607,2057,2358,1629,2038,580,3087,1875,2098,611,95,197,2644,63,539,616,0,6,150,595,278,49,135,1706,1070,14,211,1530,2208,638,4055,2159,4586,3063,2073,1657,82,471,11179,479,Stafford
5893,151,124,455,0,46,249,258,36.9,36.4,1462,0.4386,45701.0,37014.0,42679.0,37021.0,740,29,40,110,562,76908.0,79418.0,,,43462.0,,39107.0,,115511.0,116197.0,,,,,,,2807,1975.0,1208,29,700,1214,394,240,526,53,0,42103.0,13797.0,44743.0,76063.0,117022.0,219635.0,343360.0,3255,14,362,100,23,5035,207,160,0,140,419,657,115,36,220,315,76,15,0,86,36,233,198,3685,1605,57,288,258,4204,509,274,217,53,1741,1672,236,307,18,109,11,0,48,149,223,98,935,287,4038,484,1379,0,220,0,0,0,0,340,953,1259,241,14,196,2782,321,1191,1258,1016,645,140,1033,804,1029,706,30,36,1265,75,234,567,0,0,25,314,289,33,60,537,605,24,140,641,1201,473,2146,745,2998,1462,688,498,20,494,5829,64,Willington
62587,2860,258,5662,41,1664,8613,7651,44.9,36.7,18492,0.5726,86571.0,37558.0,102433.0,43049.0,6380,579,395,904,3689,152577.0,155651.0,,49485.0,239250.0,67976.0,102639.0,70588.0,204729.0,212925.0,94444.0,,250001.0,59688.0,,80688.0,24560,1961.0,9316,932,6912,8697,4068,1662,7293,638,93,101619.0,24836.0,78434.0,156346.0,295860.0,850849.0,1405312.0,18779,5704,1244,89,337,42496,7317,1132,294,1795,6073,6736,1609,457,1730,388,443,1936,2071,9031,457,683,894,18781,27734,1535,6886,7651,43658,2609,224,2311,754,17034,264,10924,6503,206,872,279,1312,1008,4065,3697,4159,2646,589,43021,2865,4226,0,47,14,144,39,553,2580,4622,6132,5576,5097,1390,23507,1122,11006,6671,8196,15914,1429,5900,4345,16425,14063,451,945,14523,431,553,2896,2077,1179,1778,2186,1386,82,81,210,299,9168,644,1759,5914,4466,20694,16028,22122,13461,10976,9289,4952,14936,59138,2900,Greenwich
9176,49,43,168,0,165,404,344,42.6,36.8,2732,0.4837,75540.0,42917.0,76318.0,45709.0,969,32,18,67,724,132838.0,133801.0,,,90313.0,,,133589.0,158958.0,161204.0,,,,,,134355.0,3959,1974.0,2036,101,727,1568,741,315,1191,28,0,70840.0,28909.0,76419.0,134685.0,205504.0,487809.0,830146.0,3558,221,51,8,25,7885,259,42,29,333,711,1323,274,54,132,359,531,1269,334,1415,54,91,59,4055,4280,150,347,344,6919,484,56,130,35,3739,166,573,1057,0,96,8,180,113,395,404,780,379,119,6548,397,2606,0,119,0,25,8,8,275,609,1153,1562,352,87,3723,92,969,1440,1457,2068,106,719,812,2756,2013,32,168,2412,106,58,136,134,86,143,105,119,20,17,35,74,239,121,218,864,780,3302,2076,3062,2200,1838,1508,364,297,8308,743,Redding
