total population,black or african american,american indian and alaska native,asian,native hawaiian and other pacific islander,other race,hispanic or latinx,non US citizens,male mean usual hours worked,female mean usual hours worked,unemployed,gini index,male median income past 12 months,female median income past 12 months,male median earnings past 12 months,female median earnings past 12 months,receiving social security income,receiving supplemental security income,received public assistance income,received cash public assistance or food stamps/snap,received retirement income,median household income,median household income - white,median household income - black,median household income - american indian / alaska native,median household income - asian,median household income - other race,median household income - 2 or more races,median household income - hispanic or latinx,median family income,median family income - white,median family income - black,median family income - american indian / alaska native,median family income - asian,median family income - other race,median family income - 2 or more races,median family income - hispanic or latinx,housing units,median year housing unit was built,number of owned homes,households with 0 vehicles available,households with 1 vehicles available,households with 2 vehicles available,households with 3 vehicles available,households with 4+ vehicles available,households with people 65+,married women with birth in past 12 months,unmarried women with birth in past 12 months,per capita income,income quintile means - lowest,income quintile means - second,income quintile means - third,income quintile means - fourth,income quintile means - highest,income quintile means - top 5%,transport to work - car/truck/van,transport to work - public transport,time of departure to work - afternoon,child relationship to householder - foster/not family,educational attainment - no school,primary spoken language at home - english,primary spoken language at home - spanish,primary spoken language at home - chinese,ratio of income to poverty level - < 0.5,number of income earners in family - no earners,number of income earners in family - 1 earner,number of income earners in family - 2 earners,number of income earners in family - 3+ earners,rent paid for non-owned housing units - no rent paid,rent as percentage of income - 50+%,home value of owned/mortgaged housing units - 300k - 400k,home value of owned/mortgaged housing units - 400k - 500k,home value of owned/mortgaged housing units - 500k - 750k,home value of owned/mortgaged housing units - 750k - 1m,monthly housing costs - 3k+,monthly housing costs - no housing cost,computers and internet - computer but no internet,computers and internet - no computer,nativity and citizenship - born in CT,nativity and citizenship - born in other state,nativity and citizenship - born outside US,nativity and citizenship - foreign-born naturalized,nativity and citizenship - foreign-born non-citizen,geographic mobility - no moving,geographic mobility - within county,geographic mobility - from other county in CT,geographic mobility - from other state,geographic mobility - from abroad,work location - in county of residence,work location - outside county of residence,work location - outside CT,household type of homes with children - married,household type of homes with children - cohabitating couple,household type of homes with children - single female,household type of homes with children - single male,school enrollment - nursery/pre-school,school enrollment - kindergarten,school enrollment - grades 1-4,school enrollment - grades 5-8,school enrollment - high school,school enrollment - college,school enrollment - grad school,school enrollment - not enrolled,house heating fuel - electric,house heating fuel - oil,house heating fuel - coal,house heating fuel - wood,house heating fuel - solar,house heating fuel - other,house heating fuel - no fuel used,bedrooms in house - none,bedrooms in house - 1,bedrooms in house - 2,bedrooms in house - 3,bedrooms in house - 4,bedrooms in house - 5+,transport to work - other,time of departure to work - morning,time of departure to work - evening/night,travel time to work - < 20 mins,travel time to work - 21-40 mins,travel time to work - > 40 minns,child relationship to householder - family,educational attainment - K-12 no diploma,educational attainment - high school diploma,educational attainment - some college no degree,educational attainment - college degree,educational attainment - graduate degree,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,rent paid for non-owned housing units - < 500,rent paid for non-owned housing units - 500 - 999,rent paid for non-owned housing units - 1000 - 1999,rent paid for non-owned housing units - 2000 - 2999,rent paid for non-owned housing units - 3000+,rent as percentage of income - <15%,rent as percentage of income - 15-29%,rent as percentage of income - 30-49%,home value of owned/mortgaged housing units - < 50k,home value of owned/mortgaged housing units - 50k - 100k,home value of owned/mortgaged housing units - 100k - 200k,home value of owned/mortgaged housing units - 200k - 300k,home value of owned/mortgaged housing units - 1m+,monthly housing costs - < 500,monthly housing costs - 500-1000,monthly housing costs - 1k - 2k,monthly housing costs - 2k - 3k,computers and internet - computer with internet,population at age - < 18 years,population at age - 18 - 49 years,population at age - 50 - 64 years,population at age - 65+ years,school type for high school and below - public school,school type for high school and below - private school,house heating fuel - gas,health insurance coverage - with coverage,health insurance coverage - without coverage,town
18312,177,57,2576,0,489,900,1343,43.8,35.1,5243,0.4862,96461.0,37241.0,105843.0,47327.0,2118,172,142,217,1721,131130.0,132839.0,,,109375.0,,,211014.0,168221.0,173594.0,,,109875.0,,,211689.0,7384,1978.0,3826,181,1797,3452,1074,473,2389,212,16,71347.0,28099.0,75779.0,133135.0,209767.0,484147.0,864220.0,7762,98,408,57,106,13655,475,437,34,600,1695,2294,530,68,351,1401,1045,989,356,1444,68,203,309,8378,6464,157,1970,1343,13207,714,210,348,205,7475,824,485,2066,68,249,47,497,278,903,991,1394,611,153,12956,715,3085,0,106,0,81,9,49,392,1470,2217,2328,928,322,7378,396,2333,4156,1693,4526,272,1256,1654,5574,3981,126,242,4717,48,38,818,164,31,77,407,264,39,83,419,1199,279,78,709,2877,1801,6465,4583,5509,4420,3800,3388,675,2981,17941,184,Avon
20484,317,53,847,0,324,1129,429,40.8,37.0,6020,0.4134,60631.0,42065.0,64734.0,49135.0,2857,236,127,433,2172,101127.0,99740.0,,,111133.0,,,140640.0,119071.0,119814.0,,,111465.0,,,141372.0,8584,1972.0,4657,391,2425,3106,1487,772,3048,183,19,49831.0,26238.0,61392.0,100165.0,146108.0,278753.0,444836.0,9828,107,355,49,202,17122,349,108,51,779,1600,2782,776,38,343,1662,675,399,43,749,38,300,724,15452,2756,179,1668,429,16089,926,154,161,29,7947,2190,385,1607,144,378,40,217,143,989,1064,1198,984,196,15271,549,2152,0,225,0,0,0,66,546,1695,4226,1812,239,237,9259,558,4376,4557,1239,4037,849,4272,2363,4795,2585,91,302,5493,72,109,1011,28,17,89,543,262,97,31,769,3213,17,203,1668,3728,1795,7157,4086,7068,5016,4314,3083,528,5255,20255,206,Berlin
9659,160,0,398,0,0,213,176,42.1,35.7,2519,0.4001,71159.0,39831.0,72260.0,44821.0,1044,75,15,87,827,127353.0,128681.0,,,112206.0,,103393.0,109519.0,139120.0,140298.0,,,111397.0,,103393.0,155385.0,3688,1981.0,2311,89,539,1484,915,435,1129,53,0,54876.0,31955.0,80805.0,127503.0,178947.0,337838.0,499004.0,4451,13,260,38,11,8352,202,63,26,252,803,1288,376,4,61,730,615,453,52,589,4,78,179,6543,2537,57,346,176,7459,217,93,23,52,4147,617,57,979,13,34,69,141,115,413,764,463,411,77,7055,375,2461,22,113,0,9,11,42,42,368,1874,1172,190,6,4006,204,1194,2065,1211,2215,188,1410,1055,2597,1523,13,188,2492,17,81,89,20,20,44,103,19,8,60,230,1058,25,40,712,1157,960,3205,2253,3408,2484,1514,1729,167,471,9561,90,Burlington
1982,5,165,10,0,15,2,15,42.7,34.8,451,0.4077,50184.0,38583.0,51914.0,39968.0,248,20,10,37,195,99722.0,99306.0,,,,,,,109861.0,109028.0,,,,,,,855,1969.0,460,26,174,262,196,98,267,0,0,47538.0,31026.0,66277.0,99140.0,128293.0,286475.0,505036.0,962,16,61,33,11,1860,0,0,4,66,94,279,76,0,5,166,39,32,3,38,0,22,39,1431,483,15,38,15,1558,80,0,6,0,833,144,62,138,6,9,0,34,19,63,174,106,51,3,1505,24,575,19,92,0,17,0,0,13,153,416,212,61,4,853,68,165,471,346,382,72,482,240,493,127,3,32,476,4,17,32,0,0,10,26,12,10,4,130,313,6,35,226,299,158,695,415,536,654,377,279,117,29,1949,29,Hartland
50272,14635,791,2038,77,5844,18158,5084,38.9,35.5,12716,0.4386,35751.0,25978.0,40290.0,30575.0,5661,1262,1364,4390,2983,55967.0,56904.0,58800.0,,80586.0,41175.0,49982.0,43454.0,70319.0,75722.0,69453.0,86174.0,80469.0,43125.0,,53719.0,20976,1960.0,7437,2132,7376,6338,2228,972,5110,330,393,29015.0,12199.0,34523.0,57636.0,92007.0,172776.0,265926.0,23030,1200,1515,459,781,28743,12745,80,449,1460,3842,5048,1865,161,2349,237,44,44,13,178,161,1588,2162,27164,7953,5130,4941,5084,36077,3946,706,357,425,22227,2784,551,2917,485,1612,279,706,714,2105,2299,3040,3019,655,35729,2900,4980,0,76,10,101,98,714,2738,6833,8253,2034,404,867,20334,3248,11816,10141,3140,10620,4850,12017,6504,7612,2090,798,2263,8705,927,2627,4146,41,0,935,2404,1851,467,691,7183,2416,49,1252,5674,10101,1680,15296,11098,22664,9262,7248,8188,676,10881,46940,2959,East Hartford
123088,52517,1447,4183,323,29165,54515,15093,38.1,34.3,38360,0.5049,25653.0,20772.0,30838.0,24200.0,11698,5769,6882,18762,5034,36278.0,39491.0,38109.0,21591.0,75833.0,27220.0,34570.0,28254.0,42536.0,45942.0,47308.0,35357.0,84435.0,31102.0,40670.0,31928.0,54753,1951.0,8047,13892,20493,9367,2205,733,10887,565,878,21163.0,6809.0,19423.0,36463.0,61173.0,139576.0,246869.0,38325,7005,5039,296,2470,65708,40620,528,2845,4190,11146,7901,2850,634,10882,524,294,367,63,525,634,6400,7590,56362,20443,19849,11341,15093,81134,11994,1513,2708,1588,46735,3486,857,3808,1787,5923,705,1819,1999,6604,6279,7467,10302,1701,82515,10083,4980,0,26,0,274,299,3461,13763,19224,14364,2873,1068,3651,37690,6252,23024,19912,6045,28492,17001,25329,13769,12431,5234,3321,6793,13128,5045,12990,16220,583,22,3776,11128,7954,296,1086,6518,1928,120,5521,15613,22291,2106,32700,28963,60292,19965,13868,22891,1277,31028,110046,10901,Hartford
21022,12499,166,477,0,522,1730,1284,40.7,36.7,7847,0.4447,41801.0,34290.0,46495.0,41872.0,3773,329,384,1164,2896,76717.0,88533.0,68632.0,,123750.0,,,108194.0,92912.0,106108.0,78304.0,,124688.0,,104750.0,106250.0,9300,1969.0,4198,736,3045,3529,978,439,3878,70,53,43800.0,19706.0,48214.0,77053.0,117481.0,245608.0,435068.0,9042,449,889,15,107,17215,1291,137,137,828,1768,2238,724,36,546,757,477,135,21,502,36,539,1014,9635,5865,450,3788,1284,16960,1263,58,415,118,8961,706,387,947,108,307,101,169,140,511,615,1133,1382,274,16407,1364,2714,0,12,9,108,84,125,1072,2060,4116,1655,272,287,7484,1405,4073,4530,1175,3024,1421,4699,3015,4302,2841,138,446,4837,405,216,1433,263,133,363,905,539,102,257,2375,2093,24,463,1395,4494,1837,7174,3046,6946,5427,5603,2270,298,4436,20159,480,Bloomfield
34564,961,150,3431,135,623,2007,1722,43.0,37.3,8968,0.4441,76420.0,41034.0,83088.0,50899.0,4350,471,208,596,3404,120837.0,120731.0,47202.0,,150365.0,,110909.0,132952.0,146328.0,146788.0,,,187000.0,,143625.0,128065.0,13987,1976.0,7243,637,3324,6213,2347,890,4310,220,11,60863.0,26522.0,75193.0,121082.0,180384.0,375008.0,631897.0,15585,303,625,71,95,28032,1173,452,89,990,2353,5114,929,302,495,2801,1656,1647,473,2307,302,463,630,18672,11121,420,2629,1722,25487,1637,465,394,174,14379,2774,495,3461,200,366,61,598,444,1701,2082,2316,1438,490,24692,1059,4729,0,103,0,122,119,179,1061,2649,4878,4478,742,251,14705,809,6306,7183,2650,7939,551,3780,2950,8886,8234,69,335,8893,171,377,1564,234,58,356,934,571,44,132,1118,2714,120,224,1744,5436,3398,12318,8010,12214,8108,6232,6297,844,7279,33675,676,Glastonbury
6368,100,11,58,17,0,366,68,44.0,34.5,1443,0.4087,61764.0,39716.0,64053.0,43325.0,725,13,0,163,447,112557.0,112038.0,,,,,,125925.0,129410.0,128542.0,,,,,,125925.0,2372,1981.0,1509,13,212,1137,578,391,690,83,0,55028.0,35002.0,76715.0,113762.0,177297.0,339666.0,526815.0,3244,18,221,0,15,5644,126,0,0,140,401,1063,253,46,15,726,262,140,0,298,46,100,112,4163,1792,66,279,68,4968,178,128,74,18,2658,909,93,640,0,39,55,245,36,68,222,515,275,102,4699,383,1413,0,128,0,54,0,17,123,398,1160,631,43,0,2815,226,755,1791,716,1353,115,1014,721,1759,1029,15,97,1745,53,44,152,0,0,0,120,114,44,0,144,707,13,53,387,829,718,2119,1353,2300,1596,1119,876,210,353,6174,86,Marlborough
20168,1268,106,4056,31,298,793,2627,41.2,37.3,5717,0.3897,59611.0,40281.0,61413.0,51497.0,2638,376,175,608,2024,85125.0,83609.0,54789.0,,102083.0,,66711.0,51172.0,107654.0,112170.0,,,105151.0,,,,9251,1977.0,3371,789,3440,2932,1069,391,2720,119,14,46153.0,25203.0,60319.0,85782.0,120828.0,234640.0,359553.0,9667,93,571,60,70,13618,688,176,66,441,1831,2594,513,80,662,1017,590,316,23,446,80,361,741,11073,3771,199,2498,2627,14677,1141,586,350,329,8576,1850,220,1669,104,167,48,250,233,838,847,677,855,342,15779,1490,1820,0,78,0,116,24,321,1372,3612,2603,1139,204,339,8893,635,4363,4831,905,3454,783,3327,2116,6181,2865,53,436,4824,101,155,2672,139,0,328,1608,451,86,79,1068,2295,0,173,1695,4849,1378,7519,3514,8274,4241,4139,2645,200,5093,19198,722,Rocky Hill
