total population,housing units,pop_male_under_5,pop_female_under_5,median_family_income_in_the_past_12_months_in_2019_inflation-adjusted_dollars_by_family_size_total,ratio of income to poverty level - < 0.5,children under 6 ratio of income to poverty level - < 0.5,children under 6 by parent employment status - all categories,children under 6 by parent employment status - both parents - in labor force,children under 6 by parent employment status - only father - in labor force,children under 6 by parent employment status - only mother - in labor force,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,children under 6 ratio of income to poverty level - 0.51 - 1.0,children under 6 ratio of income to poverty level - 1.01 - 2.0,children under 6 ratio of income to poverty level - > 2.0,town
10287,3882,237,217,242083.0,22,0,661,427,0,11,22,134,2748,0,12,649,Weston
7543,2870,92,159,172786.0,31,0,272,176,0,15,8,67,2110,0,0,272,Easton
145639,58552,4816,4439,53271.0,2549,1989,10408,2557,1033,4137,3555,7224,18738,1806,3509,3481,Bridgeport
21742,7278,773,656,250001.0,114,0,1779,836,11,53,28,133,5437,9,12,1758,Darien
25042,9726,612,663,200854.0,40,0,1572,761,17,81,27,329,6610,17,53,1502,Ridgefield
41141,17208,781,957,117256.0,164,32,1841,1186,34,179,192,730,10114,53,192,1645,Shelton
28016,10931,710,587,250001.0,125,10,1629,778,10,80,125,166,7153,50,39,1530,Westport
84619,32990,2746,2561,85157.0,620,401,6004,2274,851,1570,1201,2391,15344,571,1399,3752,Danbury
3649,1799,42,54,117594.0,10,0,103,64,0,17,0,73,970,0,7,96,Sherman
17016,6721,415,369,127287.0,54,0,955,660,0,17,114,237,4291,0,52,903,Brookfield
35976,12631,860,989,138681.0,61,5,2210,1543,130,79,94,423,9148,31,124,2050,Trumbull
19681,8779,470,305,128856.0,62,0,951,625,80,127,56,217,4845,0,26,932,Southbury
29147,10958,781,397,139306.0,9,0,1447,762,52,153,29,232,7292,27,103,1317,Cheshire
60982,25084,1343,1216,102709.0,206,0,2950,1541,84,753,454,1193,11829,234,379,2499,Hamden
14191,5855,300,322,113092.0,13,0,679,534,0,53,55,169,3585,0,113,566,North Branford
16508,6573,273,325,97375.0,34,28,635,373,98,65,64,540,3431,0,54,579,Seymour
108276,47830,4206,3274,52884.0,2271,2100,8434,2185,1068,2575,2553,5152,14807,1265,2117,3277,Waterbury
23722,9583,403,596,119371.0,104,52,1088,727,26,178,123,421,5834,59,84,893,North Haven
54328,24417,1384,1210,115557.0,185,44,2790,1771,65,313,233,1040,12756,73,292,2409,Milford
5456,2223,83,105,116458.0,12,0,227,104,24,7,16,51,1541,0,0,227,Harwinton
2205,1324,70,81,107955.0,5,0,147,66,12,6,14,78,507,6,47,101,Morris
11711,5382,215,298,103212.0,20,22,597,288,65,102,49,153,2873,24,73,478,Plymouth
2700,1925,45,36,111453.0,12,0,84,48,30,0,35,49,728,40,0,44,Sharon
7599,3353,141,113,92480.0,55,5,283,107,0,47,40,95,1849,34,10,234,Thomaston
3625,2902,77,14,98917.0,0,0,124,22,14,77,46,62,821,0,0,124,Salisbury
34489,16773,992,674,81274.0,240,132,2047,912,224,468,346,1129,6948,179,421,1330,Torrington
1291,1029,12,13,100556.0,9,0,31,16,15,0,11,35,339,3,0,28,Cornwall
27014,11896,542,648,111000.0,65,0,1522,851,5,193,131,575,6475,143,135,1266,New Milford
21751,9013,546,407,99864.0,66,139,1158,768,0,95,83,481,5257,39,35,945,Watertown
1484,783,32,15,112917.0,0,0,59,51,8,0,5,4,382,0,6,53,Colebrook
2883,1507,62,80,137153.0,26,20,173,86,0,20,0,39,734,0,0,153,Goshen
9562,4652,177,136,100634.0,18,0,349,257,13,42,21,182,2551,0,12,359,Woodbury
1707,843,15,26,117500.0,4,0,44,35,3,2,3,12,471,0,0,44,Bridgewater
1143,717,36,15,94625.0,0,0,54,24,16,4,9,18,308,0,6,48,Canaan
8147,4136,151,152,112669.0,34,31,384,276,5,21,20,142,2023,15,22,317,Litchfield
1457,845,19,19,117708.0,0,0,46,32,5,3,5,24,416,0,5,41,Warren
1628,935,30,48,101625.0,0,0,97,54,5,26,20,24,402,5,16,76,Norfolk
3281,1656,45,127,92868.0,0,0,165,47,73,21,38,65,596,0,35,130,North Canaan
2105,1169,35,32,143462.0,0,0,84,56,0,0,10,10,570,13,0,71,Roxbury
6703,2911,128,147,141538.0,0,0,305,184,0,40,0,74,1710,0,0,305,New Hartford
3450,2115,116,80,138958.0,11,0,205,144,12,22,10,73,755,0,0,205,Washington
10288,4282,190,287,94930.0,0,0,584,469,0,20,36,197,2618,0,0,584,Canton
44143,17639,1044,1188,95587.0,330,138,2557,1308,210,459,230,994,9157,125,425,1877,Enfield
30234,12810,723,551,97427.0,188,124,1471,913,28,152,146,628,6778,16,205,1126,Newington
1653,850,57,15,106094.0,9,0,73,39,0,4,9,19,474,12,16,56,Eastford
1830,835,41,38,98636.0,1,2,89,58,0,18,10,40,483,0,0,87,Hampton
15860,6454,326,500,120188.0,19,9,1101,685,150,133,200,227,3813,105,81,906,Colchester
26966,12208,569,695,51329.0,272,140,1453,377,229,527,972,1152,3419,390,261,685,New London
2589,1055,77,69,94500.0,0,0,143,61,17,8,0,66,690,0,61,82,Bozrah
1778,768,35,42,117273.0,0,0,78,57,0,0,3,40,475,0,12,78,Franklin
7215,3203,141,90,100543.0,26,0,251,131,21,0,85,165,1714,0,0,266,Lebanon
18935,8426,350,598,109787.0,12,24,1079,649,53,105,100,379,4589,21,143,897,Waterford
5223,2326,94,134,100114.0,31,0,327,124,17,0,36,194,1130,3,170,154,North Stonington
18445,9512,268,455,104799.0,242,69,830,322,91,165,57,304,4604,11,151,599,Stonington
39260,19224,1250,1002,66985.0,337,243,2609,880,249,1066,534,1885,6916,338,700,1427,Norwich
18724,8657,308,209,121641.0,138,95,601,297,46,81,108,254,4259,15,51,440,East Lyme
2535,1099,33,46,103250.0,9,6,125,54,15,21,24,55,635,0,5,114,Voluntown
4247,1804,49,58,101944.0,14,7,185,165,0,7,10,42,1216,0,11,167,Lisbon
18835,7781,405,261,88096.0,262,75,814,458,53,138,67,410,4243,37,100,633,Montville
2499,1197,41,69,123750.0,0,0,151,101,7,0,0,60,662,0,29,122,Lyme
