total population,black or african american,american indian and alaska native,asian,native hawaiian and other pacific islander,other race,hispanic or latinx,non US citizens,male mean usual hours worked,female mean usual hours worked,unemployed,gini index,male median income past 12 months,female median income past 12 months,male median earnings past 12 months,female median earnings past 12 months,receiving social security income,receiving supplemental security income,received public assistance income,received cash public assistance or food stamps/snap,received retirement income,median household income,median household income - white,median household income - black,median household income - american indian / alaska native,median household income - asian,median household income - other race,median household income - 2 or more races,median household income - hispanic or latinx,median family income,median family income - white,median family income - black,median family income - american indian / alaska native,median family income - asian,median family income - other race,median family income - 2 or more races,median family income - hispanic or latinx,housing units,median year housing unit was built,number of owned homes,income quintile means - lowest,income quintile means - second,income quintile means - third,income quintile means - fourth,income quintile means - highest,income quintile means - top 5%,transport to work - car/truck/van,transport to work - public transport,time of departure to work - afternoon,child relationship to householder - foster/not family,educational attainment - no school,primary spoken language at home - english,primary spoken language at home - spanish,primary spoken language at home - chinese,ratio of income to poverty level - < 0.5,number of income earners in family - no earners,number of income earners in family - 1 earner,number of income earners in family - 2 earners,number of income earners in family - 3+ earners,rent paid for non-owned housing units - no rent paid,rent as percentage of income - 50+%,home value of owned/mortgaged housing units - 300k - 400k,home value of owned/mortgaged housing units - 400k - 500k,home value of owned/mortgaged housing units - 500k - 750k,home value of owned/mortgaged housing units - 750k - 1m,monthly housing costs - 3k+,monthly housing costs - no housing cost,computers and internet - computer but no internet,computers and internet - no computer,transport to work - other,time of departure to work - morning,time of departure to work - evening/night,travel time to work - < 20 mins,travel time to work - 21-40 mins,travel time to work - > 40 minns,child relationship to householder - family,educational attainment - K-12 no diploma,educational attainment - high school diploma,educational attainment - some college no degree,educational attainment - college degree,educational attainment - graduate degree,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,rent paid for non-owned housing units - < 500,rent paid for non-owned housing units - 500 - 999,rent paid for non-owned housing units - 1000 - 1999,rent paid for non-owned housing units - 2000 - 2999,rent paid for non-owned housing units - 3000+,rent as percentage of income - <15%,rent as percentage of income - 15-29%,rent as percentage of income - 30-49%,home value of owned/mortgaged housing units - < 50k,home value of owned/mortgaged housing units - 50k - 100k,home value of owned/mortgaged housing units - 100k - 200k,home value of owned/mortgaged housing units - 200k - 300k,home value of owned/mortgaged housing units - 1m+,monthly housing costs - < 500,monthly housing costs - 500-1000,monthly housing costs - 1k - 2k,monthly housing costs - 2k - 3k,computers and internet - computer with internet,town
5223,384,61,118,0,2,170,104,40.1,31.5,1391,0.3973,50682.0,27019.0,58175.0,28811.0,756,22,39,118,514,75833.0,76542.0,,43802.0,,,56029.0,,100114.0,100871.0,,,,,56250.0,,2326,1966.0,1092,20977.0,49147.0,72576.0,123969.0,206347.0,268561.0,2300,24,237,0,31,4854,15,0,31,139,387,730,135,25,91,577,118,31,27,68,25,155,116,121,2005,203,744,1195,506,1256,214,1213,750,1023,482,36,194,1130,0,128,179,0,0,16,93,107,40,0,322,488,47,76,627,701,485,1711,North Stonington
18445,581,118,570,69,97,762,337,41.5,34.0,5926,0.4803,59033.0,27747.0,59741.0,29164.0,3135,261,201,608,2236,81667.0,79955.0,,,148188.0,,91458.0,47692.0,104799.0,105764.0,,,148375.0,,,,9512,1964.0,3625,18179.0,49730.0,81762.0,131304.0,297339.0,543785.0,8303,161,553,39,102,16583,322,119,242,884,1661,2218,444,85,449,1151,810,838,313,1035,85,276,560,282,7193,1000,4061,3434,1251,3105,593,3334,2278,4579,3162,57,304,4604,180,640,1145,125,58,341,904,427,208,137,771,1468,281,516,2033,3210,1331,7374,Stonington
39260,6694,2664,3658,44,849,5664,2153,39.0,34.1,10442,0.4358,37163.0,23758.0,40112.0,27961.0,5254,1125,1949,3351,3470,57052.0,58618.0,44402.0,,69828.0,79038.0,30081.0,42336.0,66985.0,77333.0,44873.0,52868.0,70461.0,79904.0,26173.0,40466.0,19224,1955.0,5234,13605.0,34495.0,56837.0,87090.0,172962.0,276318.0,18399,556,2509,360,513,28595,3900,1503,337,1306,3141,3824,1401,164,1642,337,164,124,13,217,164,1065,2305,379,13355,3470,9102,7922,2310,7798,2835,10170,6120,5722,2097,534,1885,6916,828,2581,4131,103,0,723,2948,2207,598,650,4702,1715,11,1203,5059,8078,1400,12751,Norwich
18724,963,274,1185,0,793,1164,364,40.2,34.7,6639,0.4203,64077.0,25556.0,69673.0,31786.0,2985,133,105,392,2263,95217.0,93080.0,108750.0,,130608.0,62898.0,84167.0,98897.0,121641.0,122653.0,,,131250.0,,,,8657,1971.0,3466,23034.0,58054.0,94724.0,142999.0,267925.0,432512.0,8022,29,591,103,104,15948,821,313,138,776,1310,2217,456,68,244,1478,760,582,96,578,68,150,451,139,7170,429,3688,3372,1130,3074,725,3172,2428,4307,3396,108,254,4259,145,311,1051,171,6,233,681,511,61,7,556,1992,61,227,1657,3257,1558,6744,East Lyme
2535,35,12,33,27,14,73,24,43.3,34.5,658,0.3559,56613.0,28472.0,57778.0,31359.0,315,64,42,79,192,85052.0,86771.0,,,,,66518.0,,103250.0,104400.0,,,,,,,1099,1979.0,582,19449.0,55888.0,84962.0,117215.0,181083.0,245611.0,1270,0,128,0,0,2397,15,0,9,62,245,313,103,21,27,105,49,19,0,30,21,8,114,5,928,219,220,547,508,509,120,590,494,466,152,24,55,635,12,44,63,13,0,0,69,32,11,54,268,324,4,78,206,439,213,865,Voluntown
4247,33,93,86,6,14,52,78,42.4,33.8,1010,0.3505,62831.0,31694.0,64161.0,34153.0,514,29,76,121,454,91125.0,92313.0,,,,,,,101944.0,101042.0,,,,,,,1804,1978.0,934,30498.0,64646.0,90635.0,126417.0,215509.0,328306.0,2254,9,122,0,0,3990,55,26,14,158,184,795,145,75,28,320,74,8,0,75,75,90,155,43,1770,414,637,1155,514,814,91,1157,762,684,352,10,42,1216,0,57,131,0,0,28,84,48,47,33,467,502,0,166,437,696,265,1469,Lisbon
18835,1573,664,1051,27,1156,2069,358,40.0,35.9,6309,0.4097,41480.0,30050.0,46586.0,35431.0,2330,252,111,674,2014,74106.0,74870.0,,55260.0,76375.0,77527.0,58438.0,78165.0,88096.0,91982.0,,56615.0,82587.0,77713.0,89659.0,62027.0,7781,1969.0,3867,18625.0,50309.0,75281.0,108908.0,208083.0,352409.0,8600,18,793,78,44,15636,1345,501,262,792,1430,2058,702,146,136,819,108,33,6,63,146,399,551,88,6461,1452,3581,3996,1129,3036,1445,5343,3360,2747,1306,67,410,4243,16,382,756,52,0,172,503,395,450,205,2129,1870,25,84,1979,3648,1077,6047,Montville
2499,77,3,12,0,10,59,84,42.4,35.8,727,0.5333,61667.0,33250.0,56122.0,31847.0,468,25,0,28,287,100435.0,100652.0,,,,,,,123750.0,127344.0,,,,,,,1197,1971.0,522,26304.0,61085.0,101773.0,173208.0,502991.0,905584.0,1013,47,63,0,7,2234,21,4,0,127,222,326,47,30,36,155,123,220,136,246,30,20,30,42,988,51,262,534,306,467,43,262,313,716,521,0,60,662,0,5,134,23,2,14,83,31,3,0,17,66,142,5,153,401,221,1006,Lyme
7396,119,47,105,29,9,339,291,42.1,35.9,2356,0.4876,68561.0,31708.0,68864.0,34009.0,1367,72,32,119,927,96567.0,97656.0,,,68654.0,,,143015.0,133365.0,138276.0,,,68654.0,,,143015.0,4939,1961.0,1477,22267.0,61169.0,98618.0,154019.0,376627.0,685623.0,3097,86,145,0,18,6718,195,16,15,340,650,956,202,38,164,736,471,475,101,516,38,108,196,110,2940,208,1465,1247,581,1352,233,1022,842,2031,1506,25,84,2024,60,42,436,49,28,23,252,169,28,10,207,385,131,114,764,1157,608,2893,Old Lyme
31347,3976,204,1190,0,1755,3904,1347,40.2,36.5,7766,0.4196,47847.0,31721.0,52433.0,38644.0,3491,547,191,1380,2605,74944.0,74462.0,109667.0,,98750.0,79526.0,34058.0,77927.0,92352.0,97341.0,110557.0,,109444.0,62264.0,33390.0,78018.0,12402,1966.0,5425,19060.0,45576.0,75176.0,116342.0,214984.0,331985.0,15154,179,1313,151,301,23092,2003,123,155,826,2332,3788,1041,201,803,499,124,27,61,436,201,493,1189,279,12614,1685,5007,6298,4307,6600,1669,7201,4887,5337,2828,215,875,6742,274,1126,1845,144,0,460,1165,862,370,811,3618,2451,38,542,2841,5645,1924,9907,Naugatuck
