total population,black or african american,american indian and alaska native,asian,native hawaiian and other pacific islander,other race,hispanic or latinx,non US citizens,male mean usual hours worked,female mean usual hours worked,unemployed,gini index,male median income past 12 months,female median income past 12 months,male median earnings past 12 months,female median earnings past 12 months,receiving social security income,receiving supplemental security income,received public assistance income,received cash public assistance or food stamps/snap,received retirement income,median household income,median household income - white,median household income - black,median household income - american indian / alaska native,median household income - asian,median household income - other race,median household income - 2 or more races,median household income - hispanic or latinx,median family income,median family income - white,median family income - black,median family income - american indian / alaska native,median family income - asian,median family income - other race,median family income - 2 or more races,median family income - hispanic or latinx,housing units,median year housing unit was built,number of owned homes,income quintile means - lowest,income quintile means - second,income quintile means - third,income quintile means - fourth,income quintile means - highest,income quintile means - top 5%,transport to work - car/truck/van,transport to work - public transport,time of departure to work - afternoon,child relationship to householder - foster/not family,educational attainment - no school,primary spoken language at home - english,primary spoken language at home - spanish,primary spoken language at home - chinese,ratio of income to poverty level - < 0.5,number of income earners in family - no earners,number of income earners in family - 1 earner,number of income earners in family - 2 earners,number of income earners in family - 3+ earners,rent paid for non-owned housing units - no rent paid,rent as percentage of income - 50+%,home value of owned/mortgaged housing units - 300k - 400k,home value of owned/mortgaged housing units - 400k - 500k,home value of owned/mortgaged housing units - 500k - 750k,home value of owned/mortgaged housing units - 750k - 1m,monthly housing costs - 3k+,monthly housing costs - no housing cost,computers and internet - computer but no internet,computers and internet - no computer,transport to work - other,time of departure to work - morning,time of departure to work - evening/night,travel time to work - < 20 mins,travel time to work - 21-40 mins,travel time to work - > 40 minns,child relationship to householder - family,educational attainment - K-12 no diploma,educational attainment - high school diploma,educational attainment - some college no degree,educational attainment - college degree,educational attainment - graduate degree,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,rent paid for non-owned housing units - < 500,rent paid for non-owned housing units - 500 - 999,rent paid for non-owned housing units - 1000 - 1999,rent paid for non-owned housing units - 2000 - 2999,rent paid for non-owned housing units - 3000+,rent as percentage of income - <15%,rent as percentage of income - 15-29%,rent as percentage of income - 30-49%,home value of owned/mortgaged housing units - < 50k,home value of owned/mortgaged housing units - 50k - 100k,home value of owned/mortgaged housing units - 100k - 200k,home value of owned/mortgaged housing units - 200k - 300k,home value of owned/mortgaged housing units - 1m+,monthly housing costs - < 500,monthly housing costs - 500-1000,monthly housing costs - 1k - 2k,monthly housing costs - 2k - 3k,computers and internet - computer with internet,town
9512,49,74,182,0,23,307,57,41.8,36.1,2388,0.3824,63594.0,46012.0,62692.0,53926.0,1157,63,35,98,911,121200.0,120200.0,,,250001.0,,,156080.0,133422.0,132641.0,,,250001.0,,,156080.0,3724,1982.0,2420,37999.0,76625.0,119021.0,168390.0,308819.0,481774.0,4608,85,221,14,16,8708,127,60,15,259,695,1431,316,0,37,1080,306,215,25,456,0,66,245,92,4203,361,992,2288,1505,2078,204,1330,919,2776,1318,34,71,2581,11,81,99,0,0,13,77,64,55,40,400,1191,25,58,597,1368,1049,3217,Hebron
19546,552,60,1186,102,323,1296,594,40.7,34.1,4942,0.4211,55996.0,34688.0,61578.0,47154.0,2142,138,70,244,1413,118669.0,119919.0,,,,76597.0,186250.0,121319.0,145497.0,146988.0,,,,,186250.0,131923.0,7013,1973.0,4419,26239.0,76766.0,121908.0,179021.0,343857.0,517833.0,9148,244,702,18,97,15986,684,66,84,553,1102,2517,967,87,185,1908,1419,754,97,1819,87,393,417,39,8326,403,2958,3427,3046,4827,479,2930,1693,4916,2840,26,223,4806,62,72,374,29,0,22,127,203,71,40,362,1213,185,86,532,2263,1886,5863,Monroe
52120,9664,255,1499,122,2978,9398,3031,40.0,35.2,13905,0.4118,46331.0,31107.0,50301.0,37673.0,7020,968,385,1525,4899,79430.0,82981.0,68032.0,,95221.0,66614.0,50682.0,78569.0,94762.0,97436.0,80114.0,,121667.0,67341.0,96250.0,83652.0,21735,1958.0,10988,19481.0,50097.0,79490.0,118398.0,219183.0,342481.0,24022,1422,1572,184,527,39441,6009,157,365,1514,4311,5711,2123,278,1385,3528,917,338,75,1664,278,1437,2009,378,21640,2610,11079,8577,6166,9727,2777,11500,6637,10950,5039,402,1287,11605,395,699,2262,404,100,436,971,1037,403,511,2750,7124,73,690,3276,8627,5322,16411,Stratford
129309,20229,1315,12404,110,13292,35233,25037,42.2,36.5,28213,0.5129,52250.0,35167.0,54101.0,40245.0,12376,1383,553,4203,6618,93059.0,112472.0,49146.0,71094.0,115231.0,47675.0,107281.0,54572.0,110954.0,139379.0,61788.0,,130571.0,42119.0,119375.0,51374.0,53432,1970.0,17792,18793.0,52083.0,94015.0,156129.0,383330.0,700862.0,53383,9624,2743,392,1118,69865,28487,1693,552,2549,9476,14221,4456,495,6755,3723,4014,8260,2894,11930,495,2197,3638,4730,61266,3728,29329,23894,14514,26076,8741,18663,12074,30414,20619,1276,3926,24948,1433,2022,10517,6957,2366,2994,7802,5393,253,83,955,2566,2603,1675,4031,17381,13629,43306,Stamford
18463,198,19,1833,0,125,667,868,44.3,34.3,4825,0.4633,106611.0,36415.0,125688.0,41671.0,1805,108,13,101,1125,193292.0,183214.0,,,250001.0,,228750.0,160785.0,220163.0,216250.0,138500.0,,250001.0,,250001.0,161105.0,6627,1971.0,3792,39116.0,118078.0,191181.0,309049.0,649477.0,1062092.0,6135,1186,285,26,23,14883,357,314,65,475,1442,2469,603,44,249,223,305,1564,1727,3557,44,62,182,218,7072,182,2473,2399,2667,5240,240,979,1079,5332,4171,42,179,4703,15,37,302,114,323,170,278,94,26,18,75,118,1199,33,170,1262,1024,5846,Wilton
61740,1870,71,3469,25,1647,4232,2814,41.6,33.4,17967,0.5056,70334.0,30328.0,73849.0,37926.0,5908,485,255,706,3835,139122.0,142026.0,100313.0,,131359.0,74760.0,112625.0,122750.0,167210.0,173804.0,111250.0,,141667.0,74760.0,114784.0,126397.0,22160,1959.0,11499,28840.0,79553.0,138846.0,221746.0,549327.0,1027383.0,21507,3877,1634,49,250,48645,2766,448,183,1482,4563,7704,1763,200,873,2271,2679,5085,3126,7524,200,563,993,1078,23423,1405,10275,7117,9070,14123,1429,5434,4101,16038,11897,212,715,14402,93,166,1675,1164,325,571,1176,790,100,74,230,887,2566,201,1440,6033,5243,19085,Fairfield
19663,1023,107,1380,13,707,1501,1012,41.7,34.5,4378,0.4078,59023.0,31820.0,62177.0,33442.0,1964,97,84,606,1551,101968.0,107030.0,52417.0,,102451.0,44122.0,,65000.0,118953.0,127222.0,52955.0,,117500.0,43792.0,,73750.0,7543,1971.0,3937,25937.0,60127.0,100314.0,146359.0,269790.0,425951.0,9215,465,545,311,48,15038,980,549,27,547,1390,2248,836,55,340,2105,809,674,49,1228,55,234,333,248,8571,812,4370,2501,3057,4287,673,3136,2730,4844,2151,60,403,4531,85,172,1005,181,24,128,496,483,9,9,582,1328,77,212,934,2826,1909,6597,Bethel
88599,14139,649,6011,264,4385,24523,13447,41.4,36.9,21011,0.4996,49221.0,34116.0,50432.0,40755.0,9206,1011,468,2859,4788,85769.0,93773.0,54070.0,,98050.0,44148.0,104375.0,57230.0,98770.0,114223.0,62044.0,,97434.0,52292.0,127500.0,53898.0,36898,1963.0,14344,18145.0,51010.0,86317.0,139306.0,337427.0,626294.0,38971,4300,1541,195,1090,52400,20696,841,544,1800,7018,10097,3027,521,3558,4551,4451,4450,1437,6677,521,1371,2096,1965,40994,2701,19939,15378,9919,17590,6660,14156,9521,21267,11134,1008,2961,17429,972,1424,7039,3668,714,1666,5134,3184,264,216,881,2420,1179,1234,3687,12811,9257,30720,Norwalk
3433,51,6,77,9,105,84,70,42.6,36.3,793,0.4284,54306.0,30991.0,53524.0,33571.0,413,16,9,61,244,98409.0,98636.0,,,,,,179167.0,119141.0,119297.0,,,,,,179167.0,1577,1971.0,692,27523.0,58142.0,98483.0,142093.0,292546.0,499694.0,1632,0,131,26,0,3021,14,32,14,85,257,398,147,19,37,358,151,33,29,148,19,64,95,66,1509,58,492,744,462,778,47,684,464,735,456,7,58,808,8,51,89,22,7,26,55,59,0,0,150,252,35,56,240,478,263,1045,Bethlehem
2799,31,41,112,0,26,62,101,41.7,35.7,1090,0.5179,54973.0,35341.0,61875.0,38708.0,520,18,14,72,358,78125.0,75625.0,,,,,,,101786.0,101429.0,,,,,,,1504,1970.0,599,25233.0,49534.0,76259.0,118742.0,345496.0,815356.0,896,47,51,20,21,2443,40,83,0,142,233,265,22,78,61,206,90,168,63,130,78,60,105,163,974,81,643,262,201,365,125,508,288,661,543,6,74,582,0,47,75,20,0,0,55,26,0,5,115,233,76,38,242,517,171,1011,Kent
10730,198,311,164,17,102,517,317,41.0,34.9,3065,0.4229,39804.0,27328.0,41525.0,27171.0,1790,303,165,749,1170,68750.0,70819.0,60068.0,,,,29258.0,,82744.0,84726.0,,,,,,39293.0,5647,1955.0,1856,13821.0,37837.0,67972.0,105185.0,183012.0,265356.0,4961,101,442,59,160,9941,253,0,50,374,818,1127,355,35,441,152,75,104,0,63,35,240,631,260,4532,348,2074,1711,1537,1652,600,3145,1415,1880,825,276,178,2170,133,696,736,0,0,274,455,375,118,181,1643,653,24,242,1652,2299,259,3679,Winchester
3649,8,0,149,0,27,33,150,44.4,35.7,915,0.3726,62601.0,32256.0,72143.0,40893.0,465,43,10,38,329,109688.0,109635.0,,,,,,,114706.0,114632.0,,,,,,,1435,1976.0,826,23370.0,68266.0,111383.0,154753.0,245724.0,338827.0,1699,0,134,0,13,3270,31,8,50,162,304,518,144,0,0,220,74,61,0,47,0,71,56,96,1565,96,466,612,717,728,144,610,545,924,439,8,80,990,0,0,60,38,0,54,21,23,28,6,203,629,17,30,299,594,366,1209,Barkhamsted
3757,226,47,12,8,33,128,8,40.7,35.4,1128,0.342,47917.0,31522.0,62813.0,38406.0,448,144,74,125,343,78684.0,84722.0,,,,,,76217.0,78846.0,83843.0,,,,,,,1454,1978.0,1021,18744.0,49298.0,78715.0,107524.0,155269.0,212581.0,1621,0,175,0,15,3391,93,0,45,248,404,384,128,62,24,146,64,9,0,11,62,95,92,11,1324,133,409,500,723,921,179,912,641,629,208,22,105,992,0,43,73,10,0,17,10,64,23,46,551,419,0,41,295,706,331,1259,Sterling
14761,750,506,916,0,29,793,256,43.0,34.8,3451,0.3776,60575.0,37274.0,59638.0,38223.0,1775,103,68,333,1677,94099.0,93872.0,133716.0,160577.0,63839.0,,,89097.0,112930.0,111514.0,,173051.0,101375.0,,160250.0,91250.0,6390,1970.0,3404,32484.0,62058.0,95540.0,134114.0,245155.0,410462.0,7406,96,298,44,34,12777,255,181,17,414,1146,2135,415,66,114,960,131,58,15,236,66,192,256,86,6415,875,3520,3181,887,3292,119,2411,2613,3349,2016,83,353,3657,0,195,579,120,0,61,543,176,149,71,1338,2087,0,150,1377,2693,1247,5321,Ledyard
4657,259,148,263,11,25,44,97,40.7,32.8,1166,0.4092,53405.0,24715.0,54181.0,27194.0,636,49,68,162,574,79444.0,79333.0,,,95625.0,,,,90721.0,97566.0,,,,,,,2002,1971.0,1051,18597.0,51028.0,80182.0,117897.0,217993.0,329825.0,2349,7,210,0,1,3980,17,157,51,109,443,587,184,39,58,304,64,41,64,136,39,178,160,23,1903,266,908,1172,299,945,210,1042,880,721,405,38,111,1123,8,41,147,35,0,15,47,111,44,53,319,664,7,120,471,808,256,1492,Preston
4112,120,0,250,11,89,178,91,43.9,38.1,968,0.3953,65216.0,41376.0,63542.0,43793.0,566,0,0,26,380,109460.0,114073.0,,,129167.0,,,,128563.0,130882.0,,,133194.0,,,,1839,1982.0,1156,35122.0,76117.0,111352.0,146036.0,306442.0,557597.0,2133,11,133,0,15,3641,122,21,17,192,297,719,125,0,30,420,216,52,10,194,0,71,72,17,1822,206,421,1178,562,818,94,753,430,1036,687,10,67,1239,0,42,91,19,0,34,80,8,27,80,191,513,0,17,332,668,450,1518,Salem
2906,215,146,36,30,28,114,41,39.2,32.9,682,0.4195,45476.0,25350.0,42308.0,26944.0,357,72,117,174,293,68301.0,68902.0,,,,,,,76250.0,87188.0,,,,,,,1287,1952.0,465,17896.0,46443.0,68585.0,98689.0,207392.0,317346.0,1375,0,138,0,0,2548,81,0,25,96,252,301,116,8,134,93,50,29,4,34,8,69,101,0,998,239,448,682,245,651,152,817,454,447,173,59,98,583,24,87,284,0,0,34,150,77,12,10,279,269,0,101,284,580,142,979,Sprague
38825,3873,1033,3061,197,1915,5309,1684,44.0,33.9,9093,0.4398,39076.0,25869.0,37603.0,27188.0,4457,657,589,1832,3179,66657.0,68736.0,32255.0,,99219.0,40194.0,44746.0,48750.0,79915.0,83548.0,35225.0,,99844.0,,,40714.0,17981,1973.0,4984,17289.0,40770.0,66574.0,99967.0,208185.0,350739.0,17462,406,1264,167,216,31010,2905,366,319,1012,3072,4249,1022,227,1786,1118,605,650,206,692,227,905,1473,1958,16447,2115,12999,5251,1576,7276,1440,7326,5218,7309,4055,336,1625,7075,620,1560,5101,633,73,1195,2879,2016,562,188,1975,2272,168,934,3430,8445,2230,13580,Groton
11622,367,591,335,36,102,285,142,40.2,34.8,2953,0.4128,40929.0,28333.0,44939.0,29583.0,1565,127,193,590,1036,64365.0,64921.0,,,,,88641.0,,70833.0,70534.0,,,61667.0,,143798.0,,5274,1969.0,2270,17957.0,38680.0,63959.0,93966.0,179956.0,290209.0,5658,34,443,8,10,10588,33,51,42,451,980,1472,521,113,312,433,217,88,9,64,113,156,561,161,4502,908,1756,2645,1452,2488,951,2657,2259,1572,595,69,537,2776,129,473,637,0,0,55,578,282,141,234,1583,828,13,349,1492,2284,596,4181,Griswold
