total population,housing units,pop_male_under_5,pop_female_under_5,median_family_income_in_the_past_12_months_in_2019_inflation-adjusted_dollars_by_family_size_total,ratio of income to poverty level - < 0.5,children under 6 ratio of income to poverty level - < 0.5,children under 6 by parent employment status - all categories,children under 6 by parent employment status - both parents - in labor force,children under 6 by parent employment status - only father - in labor force,children under 6 by parent employment status - only mother - in labor force,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,children under 6 ratio of income to poverty level - 0.51 - 1.0,children under 6 ratio of income to poverty level - 1.01 - 2.0,children under 6 ratio of income to poverty level - > 2.0,town,demand_estimate,ratio_poverty,demand_estimate_2,%housing_lowerHalf_income,demand_estimate_3,children_below_200%_poverty,%all_parents_working,demand_estimate_4
8238,3096,126,213,86027.0,41,74,383,96,108,140,30,180,1974,26,63,220,Brooklyn,170.0,0.030468560330177228,11.0,0.18790968681718864,64.0,163,0.8981723237597912,147.0
17231,8102,657,506,83286.0,117,97,1358,696,56,336,309,372,3527,161,136,964,Killingly,582.0,0.04631187975161047,54.0,0.23509952991701005,274.0,394,0.801178203240059,316.0
9361,4483,129,76,75714.0,70,0,271,192,39,17,89,339,1920,53,6,216,Putnam,103.0,0.05319944450379233,11.0,0.23945091336395685,50.0,59,0.915129151291513,54.0
4234,2027,29,73,102206.0,0,0,102,66,0,0,18,48,988,0,0,102,Chester,51.0,0.015588096362777516,2.0,0.23937175247992443,25.0,0,0.6470588235294118,0.0
6604,3494,60,51,123800.0,13,31,116,65,0,0,0,236,1589,0,0,85,Essex,56.0,0.03770442156268928,5.0,0.2645366444579043,30.0,31,0.5603448275862069,18.0
12827,5537,266,249,114615.0,118,39,785,560,16,39,10,199,3129,0,22,731,East Hampton,258.0,0.02549310049115148,14.0,0.21583378810321976,112.0,61,0.7834394904458599,48.0
13910,6253,308,309,117722.0,7,0,750,588,23,35,52,369,3068,0,48,718,Cromwell,309.0,0.03076923076923077,19.0,0.22476635514018692,139.0,48,0.8613333333333333,42.0
3203,1357,85,73,122500.0,0,0,186,74,30,0,0,51,837,0,30,165,Andover,79.0,0.015922572588198562,3.0,0.21183265688417108,34.0,30,0.5591397849462365,17.0
12433,4999,182,339,118373.0,16,0,754,485,0,69,69,145,3297,55,93,606,Coventry,261.0,0.018499155473337088,10.0,0.20103756132872194,105.0,148,0.7347480106100795,109.0
4911,1952,96,32,127292.0,18,10,143,105,10,0,26,24,1252,0,0,141,Bolton,64.0,0.013846467114640602,2.0,0.198737527998371,26.0,10,0.8041958041958042,9.0
14713,5473,445,269,142626.0,44,0,966,842,0,6,33,154,3931,0,47,919,Tolland,357.0,0.015700401005913137,12.0,0.18599197988173724,133.0,47,0.8778467908902692,42.0
11005,3725,214,227,125991.0,10,0,555,450,12,25,12,107,2645,0,24,531,Somers,221.0,0.011721944570649704,6.0,0.1692412539754657,75.0,24,0.8774774774774775,22.0
29232,14072,899,956,85694.0,285,194,2122,845,136,722,107,1057,5666,68,627,1240,Vernon,928.0,0.04956896551724138,92.0,0.2406951286261631,447.0,889,0.8025447690857681,714.0
894,408,18,9,103125.0,0,0,43,31,0,0,9,9,273,8,0,35,Union,14.0,0.020134228187919462,1.0,0.22818791946308725,7.0,8,0.7209302325581395,6.0
5417,2315,124,107,114667.0,0,0,325,159,15,52,0,157,1615,0,0,325,Columbia,116.0,0.0289828318257338,7.0,0.2136791582056489,50.0,0,0.6953846153846154,0.0
16170,7418,402,375,122471.0,17,19,924,587,50,0,133,183,3799,0,60,845,Ellington,389.0,0.020593692022263452,17.0,0.22937538651824366,179.0,79,0.6893939393939394,55.0
25799,6323,163,144,113068.0,25,14,412,128,0,46,119,336,2203,33,116,269,Mansfield,154.0,0.018605372301251987,6.0,0.12254350943835032,38.0,163,0.4223300970873786,69.0
11881,5113,255,181,96698.0,43,36,484,210,0,93,95,197,2644,7,106,335,Stafford,218.0,0.02819627977442976,13.0,0.2151754902785961,94.0,149,0.6260330578512396,94.0
5893,2807,75,112,115511.0,0,0,228,108,0,36,30,36,1265,13,0,215,Willington,94.0,0.01119972849143051,3.0,0.23816392329882913,45.0,13,0.631578947368421,9.0
