total population,housing units,pop_male_under_5,pop_female_under_5,median_family_income_in_the_past_12_months_in_2019_inflation-adjusted_dollars_by_family_size_total,ratio of income to poverty level - < 0.5,children under 6 ratio of income to poverty level - < 0.5,children under 6 by parent employment status - all categories,children under 6 by parent employment status - both parents - in labor force,children under 6 by parent employment status - only father - in labor force,children under 6 by parent employment status - only mother - in labor force,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,children under 6 ratio of income to poverty level - 0.51 - 1.0,children under 6 ratio of income to poverty level - 1.01 - 2.0,children under 6 ratio of income to poverty level - > 2.0,town,demand_estimate,ratio_poverty,demand_estimate_2,%housing_lowerHalf_income,demand_estimate_3,children_below_200%_poverty,%all_parents_working,demand_estimate_4
129309,53432,4099,3461,110954.0,552,442,8960,3826,635,1364,1276,3926,24948,416,1982,6202,Stamford,3780.0,0.04449806277985291,337.0,0.2066058820345065,1562.0,2840,0.6501116071428571,1847.0
18463,6627,403,501,220163.0,65,53,1081,649,28,65,42,179,4703,26,9,1002,Wilton,452.0,0.015490440340139739,15.0,0.1794670421924931,163.0,88,0.6864014801110083,61.0
61740,22160,1641,1577,167210.0,183,32,3844,2386,106,164,212,715,14402,123,154,3547,Fairfield,1609.0,0.017978620019436346,58.0,0.17946226109491414,578.0,309,0.6909469302809573,214.0
19663,7543,621,529,118953.0,27,8,1319,671,262,101,60,403,4531,4,216,1091,Bethel,575.0,0.02491990032039872,29.0,0.19180694705792606,221.0,228,0.7839272175890827,179.0
88599,36898,2200,2650,98770.0,544,266,5671,2826,216,770,1008,2961,17429,483,1308,3649,Norwalk,2425.0,0.05093736949626971,248.0,0.20823034120023928,1010.0,2057,0.6721918532886616,1383.0
3433,1577,107,59,119141.0,14,27,165,43,0,72,7,58,808,18,19,101,Bethlehem,83.0,0.023011942907078357,4.0,0.22968249344596564,39.0,64,0.696969696969697,45.0
2799,1504,44,39,101786.0,0,0,96,36,9,4,6,74,582,0,9,87,Kent,42.0,0.0285816362986781,3.0,0.2686673812075741,23.0,9,0.5104166666666666,5.0
10730,5647,102,155,82744.0,50,0,415,173,0,18,276,178,2170,91,40,284,Winchester,129.0,0.04697110904007456,13.0,0.2631407269338304,68.0,131,0.4602409638554217,61.0
3649,1435,47,65,114706.0,50,35,112,81,0,0,8,80,990,0,0,77,Barkhamsted,56.0,0.03781858043299534,5.0,0.19662921348314608,23.0,35,0.7232142857142857,26.0
3757,1454,154,103,78846.0,45,0,271,110,29,16,22,105,992,0,0,271,Sterling,129.0,0.045781208410966195,12.0,0.19350545648123502,50.0,0,0.5719557195571956,0.0
14761,6390,840,419,112930.0,17,17,1340,653,45,136,83,353,3657,18,361,964,Ledyard,630.0,0.03068897771153716,39.0,0.21644875008468262,273.0,396,0.6223880597014926,247.0
4657,2002,121,155,90721.0,51,36,359,189,10,59,38,111,1123,29,125,177,Preston,138.0,0.04294610264118531,12.0,0.21494524371913248,60.0,190,0.7186629526462396,137.0
4112,1839,68,89,128563.0,17,18,191,155,0,28,10,67,1239,0,0,173,Salem,79.0,0.022859922178988325,4.0,0.223613813229572,36.0,18,0.9581151832460733,18.0
2906,1287,84,84,76250.0,25,13,259,113,29,24,59,98,583,26,90,130,Sprague,84.0,0.06262904335856848,11.0,0.22143840330350997,38.0,129,0.640926640926641,83.0
38825,17981,1279,1171,79915.0,319,310,2812,905,150,486,336,1625,7075,131,792,1579,Groton,1225.0,0.058725048293625244,144.0,0.23156471345782356,568.0,1233,0.5480085348506402,676.0
11622,5274,445,192,70833.0,42,0,714,316,51,180,69,537,2776,0,166,548,Griswold,319.0,0.055756324212700055,36.0,0.2268972638100155,145.0,166,0.7661064425770309,128.0
