child_id,deduplicated_id,is_duplicate
FF52A866-A48C-EB11-AAE9-0A7560B274D4,1,False
0053A866-A48C-EB11-AAE9-0A7560B274D4,2,False
0353A866-A48C-EB11-AAE9-0A7560B274D4,3,False
0453A866-A48C-EB11-AAE9-0A7560B274D4,4,False
0553A866-A48C-EB11-AAE9-0A7560B274D4,5,False
0653A866-A48C-EB11-AAE9-0A7560B274D4,6,False
0953A866-A48C-EB11-AAE9-0A7560B274D4,7,False
0B53A866-A48C-EB11-AAE9-0A7560B274D4,8,False
0D53A866-A48C-EB11-AAE9-0A7560B274D4,9,False
0E53A866-A48C-EB11-AAE9-0A7560B274D4,10,False
0F53A866-A48C-EB11-AAE9-0A7560B274D4,11,False
1153A866-A48C-EB11-AAE9-0A7560B274D4,12,False
1253A866-A48C-EB11-AAE9-0A7560B274D4,13,False
1353A866-A48C-EB11-AAE9-0A7560B274D4,14,False
1953A866-A48C-EB11-AAE9-0A7560B274D4,15,False
1B53A866-A48C-EB11-AAE9-0A7560B274D4,16,False
1C53A866-A48C-EB11-AAE9-0A7560B274D4,17,False
1D53A866-A48C-EB11-AAE9-0A7560B274D4,18,False
1E53A866-A48C-EB11-AAE9-0A7560B274D4,19,False
1F53A866-A48C-EB11-AAE9-0A7560B274D4,20,False
2053A866-A48C-EB11-AAE9-0A7560B274D4,21,False
2353A866-A48C-EB11-AAE9-0A7560B274D4,22,False
2453A866-A48C-EB11-AAE9-0A7560B274D4,23,False
2553A866-A48C-EB11-AAE9-0A7560B274D4,24,False
2653A866-A48C-EB11-AAE9-0A7560B274D4,25,False
2953A866-A48C-EB11-AAE9-0A7560B274D4,26,False
2A53A866-A48C-EB11-AAE9-0A7560B274D4,27,False
2B53A866-A48C-EB11-AAE9-0A7560B274D4,28,False
2C53A866-A48C-EB11-AAE9-0A7560B274D4,29,False
2D53A866-A48C-EB11-AAE9-0A7560B274D4,30,False
2E53A866-A48C-EB11-AAE9-0A7560B274D4,31,False
2F53A866-A48C-EB11-AAE9-0A7560B274D4,32,False
3053A866-A48C-EB11-AAE9-0A7560B274D4,33,False
3353A866-A48C-EB11-AAE9-0A7560B274D4,34,False
3453A866-A48C-EB11-AAE9-0A7560B274D4,35,False
3553A866-A48C-EB11-AAE9-0A7560B274D4,36,False
3653A866-A48C-EB11-AAE9-0A7560B274D4,37,False
3953A866-A48C-EB11-AAE9-0A7560B274D4,38,False
3A53A866-A48C-EB11-AAE9-0A7560B274D4,39,False
3C53A866-A48C-EB11-AAE9-0A7560B274D4,40,False
3E53A866-A48C-EB11-AAE9-0A7560B274D4,41,False
3F53A866-A48C-EB11-AAE9-0A7560B274D4,42,False
4153A866-A48C-EB11-AAE9-0A7560B274D4,43,False
4253A866-A48C-EB11-AAE9-0A7560B274D4,44,False
4453A866-A48C-EB11-AAE9-0A7560B274D4,45,False
4553A866-A48C-EB11-AAE9-0A7560B274D4,46,False
4653A866-A48C-EB11-AAE9-0A7560B274D4,47,False
4753A866-A48C-EB11-AAE9-0A7560B274D4,48,False
4953A866-A48C-EB11-AAE9-0A7560B274D4,49,False
4A53A866-A48C-EB11-AAE9-0A7560B274D4,50,False
4C53A866-A48C-EB11-AAE9-0A7560B274D4,51,False
4E53A866-A48C-EB11-AAE9-0A7560B274D4,52,False
5053A866-A48C-EB11-AAE9-0A7560B274D4,53,False
5153A866-A48C-EB11-AAE9-0A7560B274D4,54,False
5253A866-A48C-EB11-AAE9-0A7560B274D4,55,False
5453A866-A48C-EB11-AAE9-0A7560B274D4,56,False
5853A866-A48C-EB11-AAE9-0A7560B274D4,57,False
5953A866-A48C-EB11-AAE9-0A7560B274D4,58,False
5D53A866-A48C-EB11-AAE9-0A7560B274D4,59,False
5F53A866-A48C-EB11-AAE9-0A7560B274D4,60,False
2952DA17-AD8C-EB11-AAE9-0A7560B274D4,61,False
2C74974C-AD8C-EB11-AAE9-0A7560B274D4,62,False
38357B92-AD8C-EB11-AAE9-0A7560B274D4,63,False
1241EBAA-AF8C-EB11-AAE9-0A7560B274D4,64,False
09A1ADE0-AF8C-EB11-AAE9-0A7560B274D4,65,False
20B7DE18-B08C-EB11-AAE9-0A7560B274D4,66,False
CCE026A8-B08C-EB11-AAE9-0A7560B274D4,67,False
39ABC9C2-B08C-EB11-AAE9-0A7560B274D4,68,False
E6D83425-B18C-EB11-AAE9-0A7560B274D4,69,False
0ED72B9A-B28C-EB11-AAE9-0A7560B274D4,70,False
08CE2DC5-B28C-EB11-AAE9-0A7560B274D4,71,False
37215434-B38C-EB11-AAE9-0A7560B274D4,72,False
8BF08771-B58C-EB11-AAE9-0A7560B274D4,73,False
E344AFD6-B58C-EB11-AAE9-0A7560B274D4,74,False
E9B8F1A1-B68C-EB11-AAE9-0A7560B274D4,75,False
2A39A350-B98C-EB11-AAE9-0A7560B274D4,76,False
E77415B7-BB8C-EB11-AAE9-0A7560B274D4,77,False
7CC882AB-C18C-EB11-AAE9-0A7560B274D4,78,False
9929135A-C28C-EB11-AAE9-0A7560B274D4,79,False
223DE279-C58C-EB11-AAE9-0A7560B274D4,80,False
13AD82A3-CA8C-EB11-AAE9-0A7560B274D4,81,False
14AD82A3-CA8C-EB11-AAE9-0A7560B274D4,82,False
15AD82A3-CA8C-EB11-AAE9-0A7560B274D4,83,False
16AD82A3-CA8C-EB11-AAE9-0A7560B274D4,11490,True
17AD82A3-CA8C-EB11-AAE9-0A7560B274D4,84,False
18AD82A3-CA8C-EB11-AAE9-0A7560B274D4,85,False
19AD82A3-CA8C-EB11-AAE9-0A7560B274D4,86,False
1AAD82A3-CA8C-EB11-AAE9-0A7560B274D4,87,False
1BAD82A3-CA8C-EB11-AAE9-0A7560B274D4,88,False
1CAD82A3-CA8C-EB11-AAE9-0A7560B274D4,89,False
1DAD82A3-CA8C-EB11-AAE9-0A7560B274D4,90,False
1EAD82A3-CA8C-EB11-AAE9-0A7560B274D4,91,False
1FAD82A3-CA8C-EB11-AAE9-0A7560B274D4,92,False
20AD82A3-CA8C-EB11-AAE9-0A7560B274D4,93,False
21AD82A3-CA8C-EB11-AAE9-0A7560B274D4,94,False
22AD82A3-CA8C-EB11-AAE9-0A7560B274D4,95,False
27105EAC-CC8C-EB11-AAE9-0A7560B274D4,96,False
A26D4404-D98C-EB11-AAE9-0A7560B274D4,97,False
15E875F9-DC8C-EB11-AAE9-0A7560B274D4,98,False
16E875F9-DC8C-EB11-AAE9-0A7560B274D4,99,False
17E875F9-DC8C-EB11-AAE9-0A7560B274D4,100,False
18E875F9-DC8C-EB11-AAE9-0A7560B274D4,101,False
19E875F9-DC8C-EB11-AAE9-0A7560B274D4,102,False
1AE875F9-DC8C-EB11-AAE9-0A7560B274D4,103,False
1BE875F9-DC8C-EB11-AAE9-0A7560B274D4,104,False
1CE875F9-DC8C-EB11-AAE9-0A7560B274D4,105,False
1DE875F9-DC8C-EB11-AAE9-0A7560B274D4,106,False
1EE875F9-DC8C-EB11-AAE9-0A7560B274D4,107,False
1FE875F9-DC8C-EB11-AAE9-0A7560B274D4,108,False
20E875F9-DC8C-EB11-AAE9-0A7560B274D4,109,False
21E875F9-DC8C-EB11-AAE9-0A7560B274D4,110,False
22E875F9-DC8C-EB11-AAE9-0A7560B274D4,111,False
23E875F9-DC8C-EB11-AAE9-0A7560B274D4,112,False
24E875F9-DC8C-EB11-AAE9-0A7560B274D4,113,False
25E875F9-DC8C-EB11-AAE9-0A7560B274D4,114,False
26E875F9-DC8C-EB11-AAE9-0A7560B274D4,115,False
9070AE11-5F8D-EB11-AAE9-0A7560B274D4,116,False
9370AE11-5F8D-EB11-AAE9-0A7560B274D4,117,False
9670AE11-5F8D-EB11-AAE9-0A7560B274D4,118,False
9970AE11-5F8D-EB11-AAE9-0A7560B274D4,119,False
9A70AE11-5F8D-EB11-AAE9-0A7560B274D4,7955,True
9B70AE11-5F8D-EB11-AAE9-0A7560B274D4,7956,True
A070AE11-5F8D-EB11-AAE9-0A7560B274D4,120,False
A170AE11-5F8D-EB11-AAE9-0A7560B274D4,121,False
A370AE11-5F8D-EB11-AAE9-0A7560B274D4,7962,True
A470AE11-5F8D-EB11-AAE9-0A7560B274D4,7963,True
A570AE11-5F8D-EB11-AAE9-0A7560B274D4,7964,True
A670AE11-5F8D-EB11-AAE9-0A7560B274D4,7965,True
A770AE11-5F8D-EB11-AAE9-0A7560B274D4,7966,True
A870AE11-5F8D-EB11-AAE9-0A7560B274D4,7967,True
A970AE11-5F8D-EB11-AAE9-0A7560B274D4,7968,True
AA70AE11-5F8D-EB11-AAE9-0A7560B274D4,7969,True
AB70AE11-5F8D-EB11-AAE9-0A7560B274D4,7970,True
AC70AE11-5F8D-EB11-AAE9-0A7560B274D4,7971,True
AD70AE11-5F8D-EB11-AAE9-0A7560B274D4,7972,True
AE70AE11-5F8D-EB11-AAE9-0A7560B274D4,7973,True
AF70AE11-5F8D-EB11-AAE9-0A7560B274D4,7974,True
B070AE11-5F8D-EB11-AAE9-0A7560B274D4,7975,True
B170AE11-5F8D-EB11-AAE9-0A7560B274D4,7976,True
B270AE11-5F8D-EB11-AAE9-0A7560B274D4,7977,True
B370AE11-5F8D-EB11-AAE9-0A7560B274D4,7978,True
